special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
107_4950,107,4950,计算机科学与技术,四年,工学学士,本科(普通),工学,计算机类,"<p>培养目标</p><p></p><p>培养基础宽厚，知识、能力、素质俱佳，富有创新精神和创新能力，具有国际化视野，掌握计算机科学与工程方面的基本理论、基本知识和基本技能，在计算机科学与技术专业及其相关领域具有国际竞争力的“复合型、创新型、引领型”计算机专业人才。</p><p></p><p>专业特色</p><p></p><p>本科生按“计算机科学与技术”一级学科招生和培养。“计算机科学与技术”为工信部重点学科和国防特色学科,被授予陕西省名牌专业、教育部“本科质量工程”特色专业、首批工信部本科重点专业。前两年注重自然科学基础课程和专业基础课程。后两年主要是专业课程的设置。目前的专业方向有：计算机系统结构、计算机软件和理论、计算机应用技术、网络与信息安全四个方向。</p><p></p><p>为了拓宽专业面，培养适应能力强的毕业生，本科专业坚持“厚基础、宽口径与特色方向相结合”的原则，在对学生进行培养的全过程中体现了“软硬结合、注重系统、强化实践”的特色，努力造就适应国家工业化和信息化融合需求、能够从事计算机软硬件以及计算机应用技术的研究与开发，以及面向工程领域的计算机系统的设计和开发，具有国际竞争力的计算机科学研究与工程技术的“复合型”人才。</p><p></p><p>深造与就业方向</p><p></p><p>计算机科学与技术专业培养的学生具备扎实的理论基础和极强的实际动手能力，广受用人单位的欢迎。近几年应届生考研录取率在45%以上。20%左右的优秀本科生有获得校内外免试推荐研究生的机会，其中包括被推荐到国内一流高校攻读硕士学位以及到国外知名高校直接攻读博士学位。毕业生的主要就业单位包括国内外知名研究机构和腾讯、华为、中兴、迅雷等知名IT企业以及航空航天企事业单位等，从事的工作有计算机学科领域的研究、设计、开发与管理等。近几年的毕业生就业率保持在99%以上。</p>"
107_4965,107,4965,软件工程,四年,工学学士,本科(普通),工学,计算机类,<p>培养具有实战能力的国际化软件人才。软件工程教育课程体系分为基础培养和专业培养，在专业培养中结合学科优势与行业需求，设有被批准为教育部“质量工程特色专业”建设的3个方向：软件系统开发、电子服务、数字媒体，建立“软件理论教学与工程实践教学结合，软件工程方法与典型工程应用结合”为特色的培养方案。专业课程中“数据结构与算法”、“软件工程”两门课程成为教育部“双语教学示范课程”。学制4年，授予工学学士学位。</p><p></p><p>1）软件系统开发专业方向</p><p></p><p>软件系统开发专业方向突出国际化和工程型特色，引进国际领先的课程体系，基础理论与工程理念并重，工程能力培养层次递进，国际化理念贯穿始终。毕业生典型的就业单位是企事业单位信息中心、信息服务企业、软件开发企业如IBM、Oracle、腾讯、中兴、华为、花旗银行等。</p><p></p><p>2）电子服务技术专业方向</p><p></p><p>电子服务技术专业方向是新兴的服务科学与管理工程学科的重要组成部分，其应用涵盖电子政务、电子商务、现代物流、企业信息化、数字城市、智能社区服务、IT服务外包等十分广阔的领域。本专业方向重点培养学生将IT理论和技术应用于现代服务业，以提升其服务水平和质量的能力。使学生能理解现代服务业的运作机制，为服务业进行规划、建模，设计、开发、建设相应的IT设施和应用，并掌握其运维监控与管理的原理和方法。典型就业单位如IBM、阿里巴巴、腾讯、神州数码等。</p><p></p><p>3）数字媒体动漫专业方向</p><p></p><p>数字媒体动漫专业具有媒体技术与艺术设计相结合的特色，是多学科融合的典型，旨在培养掌握数字媒体核心技术，能从事数字媒体相关内容如影视、游戏、动漫的技术开发与艺术设计、制作，以及在计算机、媒体、网络交叉领域工作的高级复合型人才。数字媒体动漫专业的毕业生深受影视、电子游戏、广告、数字娱乐、出版、图书、新闻等文化媒体行业的欢迎，毕业生主要在国家机关、高等院校、电视台及其它数字媒体技术开发和产品设计制作企业工作。</p><p></p><p>软件工程专业毕业生可报考本专业或相关专业硕士研究生，平均每年占毕业生总数的40%左右的学生攻读国外知名高校或国内“985”院校的硕士研究生。</p>
107_4916,107,4916,探测制导与控制技术,四年,工学学士,本科(普通),工学,兵器类,<p>培养目标</p><p></p><p>培养具有扎实的数学物理基础、系统的探测制导与控制技术专业知识、宽阔的国际科学视野，掌握控制科学、电子和信息科学相关领域的现代高科技技术，具备在国防科技工业和信息产业的科研院所、企业及政府相关部门从事系统设计、技术开发、技术管理等工作的创新型专业人才。</p><p></p><p>专业特色</p><p></p><p>本专业为具有国防特色并入选教育部卓越工程师计划的重点建设专业，拥有两院院士及一批具有国际视野的中青年教师组成的科研、教学团队。依托“武器系统与运用工程”国家重点学科和“水下信息与控制”国家级重点实验室，科研力量雄厚。本专业培养能广泛从事军民共用工程技术的复合型人才，主要开展飞行器、船舶、特别是水下航行器和水下机器人的导航、制导与控制以及目标环境的探测、识别、跟踪及定位方面的研究、生产工作。在电类大类培养方案基础上，设置制导与控制、探测和自导两个专业方向。本专业注重培养学生的理论基础和创新实践能力，培养具有综合运用控制理论、电子工程、导航制导、传感与检测技术、系统仿真技术从事系统设计、技术开发、产品研制、实验测试和科技管理等方面工作的专业人才。</p>
107_4942,107,4942,通信工程,四年,工学学士,本科(普通),工学,电子信息类,<p>培养目标</p><p></p><p>为适应现代通信技术的发展，满足对国防、行业以及区域经济对通信人才的需求，培养德、智、体、美全面发展，理论基础扎实、适应面广、工程能力强、基本素质好，能从事通信与信息系统研究、设计、开发和应用，能够在电子、通信和计算机等高新技术应用领域从事设计、研究和管理的高级工程技术人才。</p><p></p><p>专业特色</p><p></p><p>通信工程专业是电子信息学院通信工程系下设的唯一专业，前身是创建于1958年的遥控遥测专业（主要研究国防紧缺的导弹与飞机遥测遥控技术）、以及1974年创办的无线电技术专业（主要进行航空电子技术科研与人才培养）。上世纪90年代初，为适应国民经济建设及国防工业发展的需要，调整合并为通信工程专业。经过几代人坚持不懈的努力，特别是近十多年“211”、“985”工程的实施，通信工程专业获得突破性发展，在国内通信领域具有较高的知名度和影响力：2002年被列为“十五”国防重点专业，2008年被列为国家级第一类特色专业，2010年被列为首批卓越工程师培养计划试点专业，2012年列为工业与信息化部重点专业，2013年通过工程教育专业认证。本专业培养具备在通信技术领域内，基础理论扎实、适应面广、工程能力强、基本素质好，能从事通信系统及网络的设计、制造、研究和发明工作的高级工程技术人才，也能够在电子信息及相关技术领域从事设计、研究和管理的高级工程技术人才。</p><p></p><p>本专业对应的学科中，1983年获“信号、电路与系统”学科硕士学位授予权；1990年获“通信与电子系统”学科硕士学位授予权；1995年获“电路与系统”学科博士学位授予权，1997年被批准为陕西省重点学科，2002年被批准为国家重点学科；1999年获得“信息与通信工程”一级学科博士授予权，并建立了博士后流动站。</p><p></p><p>深造和就业前景</p><p></p><p>通信工程专业一直保持着高的就业率，一次就业率始终保持97%以上的高水平。毕业生近三年读研深造率平均超过50%，进入实力强的国防大中型企事业单位与科研院所就业人数占总就业人数比重大。本科毕业生就业口径宽，学生可在中兴、华为等企业和航空系统、航天系统、电科集团等研究机构就业。</p>
107_4924,107,4924,飞行器动力工程,四年,工学学士,本科(普通),工学,航空航天类,<p>培养目标</p><p></p><p>本专业重点培养热爱航空航天及新能源事业、适应新技术不断创新发展、富有社会责任感、德智体美全面发展的获得飞行器动力工程专业基本理论与方法及工程训练的高级技术人才。</p><p></p><p>专业特色</p><p></p><p>本专业以飞行器动力为对象，以航空宇航推进理论与工程学科为依托，以动力、能源、机械及控制等学科为延拓，历经60多年的发展，已成为学校最具航空航天特色的专业之一。2001年被评为陕西省本科“名牌专业”，2002年被评为国防科工委“重点建设专业”，2009年被评为教育部“特色专业”。该专业涵盖航空发动机和火箭发动机气动热力学、燃烧原理、叶轮机械气动热力学、结构、强度、振动与可靠性、动力控制与热工程信息处理等多个培养方向。该专业充分发挥国防特色的突出优势，以教学为主体，教学与科研紧密结合，培养的学生基础扎实，实践能力强，综合素质高。</p>
107_4917,107,4917,水声工程,四年,工学学士,本科(普通),工学,电子信息类,<p>培养目标</p><p></p><p>培养具有坚实的数学物理基础和海洋声学专业知识，宽阔的科学视野，掌握水声技术、声学技术、噪声控制技术、电子技术及相关领域高科技知识，具备参与水声系统、电子信息系统、噪声控制系统等设计能力的创新型专业人才。</p><p></p><p>专业特色</p><p></p><p>本专业是教育部2010年批准的战略性新兴产业相关本科专业，2013年入选教育部卓越工程师教育培养计划，建有省级人才培养模式创新实验区——“水声工程交叉复合型人才培养模式创新实验区”。该专业依托水声工程国家重点学科，师资队伍强大、科研力量雄厚，拥有国防科技创新团队和“声纳技术”陕西省优秀教学团队。水声工程本科专业在人才培养中注重学生基础知识和创新能力的培养，主要面向声纳技术、水下声信息处理、水下物理场、海洋信息传输与组网、声学与电子工程、环境声学和噪声控制、信息传输与处理等应用基础和工程技术培养科研学术型人才和应用型人才。</p>
107_4923,107,4923,微机电系统工程,四年,工学学士,本科(普通),工学,机械类,<p>培养目标</p><p></p><p>本专业是国家战略性新兴产业相关专业，紧密结合国家对集成电路产业的急需，面向航空、航天、生物医疗、精密仪器、汽车电子、消费电子等领域，培养掌握先进的微电子制造技术、微传感器设计制造技术、仪器仪表及测控技术、精密机械制造技术等，具备扎实的微机电系统设计及制造基础知识，并具备一定的人文社科和现代管理知识的复合型高级人才。</p><p></p><p>专业特色</p><p></p><p>本专业是目前全国唯一的微机电系统工程本科专业。本专业结合学校在航空、航天、国防等领域的突出背景，充分发挥微机电系统微型化、智能化、集成化的技术特点，紧跟国际科技发展前沿及国家战略急需，形成了工程与创新并重的专业特色。</p><p></p><p>就业与深造方向</p><p></p><p>本专业毕业生具备扎实的微电子、微机械等基础知识，工程适应性好、实践创新能力强。可在集成电路制造、航空、航天、机械工程、精密仪器、微电子、医疗器械等行业和领域的研究院所、大中型企业、合资企业及高等院校从事科研、生产、管理等方面的工作。毕业生可在北京、长三角、西安等地的三星电子、台积电、中芯国际、中国航空工业集团公司、中国航天科技集团公司、中国航天科工集团公司以及中电集团公司等国际知名企业就业。</p><p></p><p>本专业与美国加州理工学院、西北大学、北卡罗莱纳大学、德国亚琛工业大学等建立了良好的合作关系，毕业生具有丰富的出国深造机会，同时毕业生可报考微机电系统及纳米技术、仪器科学与技术、机械电子工程等学科方向的硕士、博士研究生。</p>
107_4922,107,4922,飞行器制造工程,四年,工学学士,本科(普通),工学,航空航天类,<p>培养目标</p><p></p><p>本专业学生系统学习和掌握以飞机制造、飞机装配、优化分析为核心的课程，具备扎实的设计制造、分析优化、科技开发和创新研究能力，掌握工程识图、工程运算、工程测试和科研实验等基本技能，具有较好的科学及专业基础理论和人文科学素质，了解科技发展新动向。</p><p></p><p>专业特色</p><p></p><p>飞行器制造工程专业为国家特色专业、国防重点专业、陕西省名牌专业、教育部卓越工程师首批试点专业。硕士、博士学位学科点为航空宇航制造工程，博士后科研流动站为航空宇航科学与技术，培养了国内第一个航空宇航制造工程专业的博士研究生。本专业设有复杂产品数字化设计与制造、复杂结构精密制造、精密成型技术及装备和装配与连接等4个重点方向，面向航空、航天等制造领域，培养掌握先进航空制造技术、计算机辅助技术、现代管理技术的复合型高级人才。</p><p></p><p>深造和就业前景</p><p></p><p>本专业培养的毕业生整体表现出综合素质高、工程适应性好、实践创新能力强、发展潜力大等特质，受到了用人单位的广泛欢迎。本专业的学生可参加学校与法国INSA-Lyon本硕连读项目。毕业生可报考航空宇航制造工程、材料加工工程、机械制造及自动化、计算机应用等学科方向的硕士、博士研究生；也可在航空航天、机械设计与制造、材料加工以及计算机应用等行业和领域的研究院（所）、大中型企业、合资企业及高等院校从事科研、生产、技术管理和教学等方面的工作。就业率稳定在100%。</p>
107_4929,107,4929,机械设计制造及其自动化,四年,工学学士,本科(普通),工学,机械类,<p>培养目标</p><p></p><p>本专业围绕现代机械设计和先进制造技术的发展和行业人才的需要，以航空工程教育为特色，培养德、智、体、美全面发展，具备机械工程领域的基础理论、技术及其应用能力，能够从事机械设计、机械制造及其自动化、科技研发、生产管理等方面工作的高级工程技术人才。</p><p></p><p>专业特色</p><p></p><p>本专业为工业和信息化部重点专业、陕西省名牌专业、陕西省特色专业、国防重点建设专业，是学校首个通过全国工程教育认证的专业。</p><p></p><p>就业与深造方向</p><p></p><p>本专业毕业生可在航空、航天、国防、机械装备、汽车及交通运输等国内外制造企业、研究院所等从事产品设计和制造、应用技术开发、科学研究、工程管理等工作。本专业学生可报考机械设计及理论、机械制造及其自动化、机械电子工程、航空宇航制造工程等专业的硕士、博士研究生，也可通过选拔参加学校与法国INSA-Lyon大学的本硕连读双</p>
107_4933,107,4933,机械电子工程,四年,工学学士,本科(普通),工学,机械类,<p>培养目标</p><p></p><p>本专业学生系统学习和掌握以机器人学、制造装备学、微处理器及硬件原理、液压与气动为核心的课程，具备扎实的理论基础知识，能够从事机械电子工程从事机电一体化产品和系统的设计制造、研究开发、工程应用、运行管理等方面工作和跟踪本领域新理论、新技术，具有创新精神和国际视野的复合型高级工程技术人才。</p><p></p><p>专业特色</p><p></p><p>本专业依托机械电子工程国家重点学科，面向航空、航天、航海、民用高新装备设计和制造领域，结合项目式教学和创新型实验教学，为高端数控、高性能工业、仿生机器人、智能机器以及数字化复杂机电装备的研究和设计，培养掌握先进机电控制与自动化技术、机械设计及制造技术、电子信息和计算机应用技术的复合型高级人才。</p><p></p><p>深造和就业前景</p><p></p><p>机械电子工程培养的学生普遍传承西工大“三实一新”精神，秉承西工大“公诚勇毅”校训，毕业生整体表现出综合素质高、工程适应性好、实践创新能力强、发展潜力大等特质，受到了用人单位的广泛欢迎。机械电子工程毕业生可报考机械电子工程、微机电系统、机械制造及自动化等学科方向的硕士、博士研究生；与美国UC伯克利、佐治亚理工、德国亚琛等国外知名高校具有本科生和研究生互派互访合作交流项目，充分提高学生在机械电子工程研究和应用能力。</p><p></p><p>机械电子工程本科毕业生就业口径宽，就业率达100%，面向航空、航天、船舶、中核、中电、中石油等领域所需的机械电子工程设计与制造、材料加工以及计算机应用等行业和领域的研究院（所）、大中型企业、合资企业从事科研、生产、技术管理等方面的工作。</p>
