special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
51_656306,51,656306,土木工程（汉）,四年,工学学士,本科(普通),工学,土木类,培养目标：本专业培养适应社会主义现代化建设需要，德、智、体等方面全面发展，掌握土木 工程学科的基本原理和基本知识，能胜任房屋建筑、道路、桥梁、隧道等各类土木工程的技术与管 理工作，具有扎实的基础理论、宽广的专业知识、较强的工程实践能力和创新能力以及一定的国 际视野，能面向未来的高级专门人才。 培养要求：本专业学生主要学习力学、结构、施工、工程项目管理与经济等方面的基本理论和 基本知识，接受力学分析、结构设计、施工技术与工程管理、文字图纸表达等方面的基本训练，掌 握在土木工程项目勘察、设计、施工、管理、教育、投资和开发、金融与保险等部门从事技术或管理 工作的基本能力。 毕业生应获得以下几方面的知识和能力： 1．熟悉哲学、政治学、经济学、法学等方面的基本知识，了解文学、艺术等方面的基础知识， 掌握工程经济、项目管理的基本理论和方法并掌握一门外语； 2．了解物理、信息科学、工程科学、环境科学的基本知识，了解当代科学技术发展的主要趋 势和应用前景，掌握数学和力学的基本原理和分析方法； 3．掌握工程材料的基本性能和选用原则，掌握工程测绘和工程制图的基本原理和方法； 4．掌握工程结构选型、构造、计算原理和设计方法，掌握工程结构CAD和其他软件应用技 术，掌握土木工程施工的一般技术、过程、组织和管理以及工程检测和试验基本方法； 5．了解本专业的有关法规、规范与规程，了解给水与排水、供热通风与空调、建筑电气等相 关知识，了解土木工程机械、交通、环境的一般知识以及本专业的发展动态和相近学科的一般 知识。 6．具有综合运用各种手段查询资料、获取信息、拓展知识领域和继续学习的能力； 7．具有应用语言、图表和计算机技术等进行工程表达和交流的基本能力； 8．掌握至少一门计算机高级编程语言并能解决一般工程问题，具有计算机、常规工程测试 仪器的运用能力； 9．具有综合运用知识进行工程设计、施工和管理的能力； 10.具有初步的科学研究和应用技术开发能力。 主干学科：力学、土木工程。 核心知识领域：力学原理和方法、专业技术相关基础、工程项目经济与管理、结构基本原理、 施工原理和方法、计算机应用技术。 核心课程示例： 示例一：工程力学（1 19学时）、结构力学（102学时）、流体力学（34学时）、土力学（34学 时）、弹性力学（34学时）、土木工程材料（34学时）、土木工程概论（17学时）、工程地质（34学 时）、画法几何与工程制图（68学时）、测量学（51学时）、土木工程法规（17学时）、工程概预算与 招投标（34学时）、荷载与结构设计原则（17学时）、混凝土结构基本原理（68学时）、钢结构基本 原理（43学时）、基础工程设计原理（51学时）、土木施工工程学（43学时）、结构全寿命维护(34 学时)。 示例二：理论力学（48学时）、材料力学（64学时）、结构力学（80学时）、流体力学（24学 时）、土力学（40学时）、土木工程材料（32学时）、土木工程概论（16学时）、工程地质（24学时）、 工程制图（40学时）、测量学（32学时）、土木工程试验（36学时）、工程经济与管理（24学时）、工 程监理概论（24学时）、混凝土结构基本原理（64学时）。钢结构基本原理（32学时）、基础工程 （32学时）、土木工程施工（32学时）、施工组织设计（32学时）。 示例三：理论力学（80学时）、材料力学（80学时）、结构力学（96学时）、水力学（32学时）、 土力学（40学时）、土木工程材料（64学时）、土木工程概论（16学时）、工程地质（24学时）、画法 几何及土建制图（80学时）、土木工程测量（48学时）、结构实验与检测（48学时）、工程项目管理 （24学时）、建设工程法规（24学时）、建设工程经济（24学时）、荷载与结构设计方法（24学时）、 混凝土结构基本原理（72学时）、钢结构基本原理（48学时）、基础工程（40学时）、土木工程施工 技术（56学时）、土木工程施工组织（24学时）。 主要实践性教学环节：实验、实习、设计和社会实践以及科研训练等形式。实验包括基础实 验、专业基础实验和专业及研究性实验3个环节；实习包括认识实习、课程实习、生产实习和毕业 实习4个环节；设计包括课程设计和毕业设计（论文）2个环节。 主要专业实验：材料力学实验、流体力学实验、土木工程材料实验、结构基本构件实验、土力 学实验、土木工程测试技术、土木工程专业实验（结合专业课程）。 修业年限：四年。 授予学位：工学学士。
51_1032608,51,1032608,土木工程（藏）,四年,工学学士,本科(普通),工学,土木类,培养目标：本专业培养适应社会主义现代化建设需要，德、智、体等方面全面发展，掌握土木 工程学科的基本原理和基本知识，能胜任房屋建筑、道路、桥梁、隧道等各类土木工程的技术与管 理工作，具有扎实的基础理论、宽广的专业知识、较强的工程实践能力和创新能力以及一定的国 际视野，能面向未来的高级专门人才。 培养要求：本专业学生主要学习力学、结构、施工、工程项目管理与经济等方面的基本理论和 基本知识，接受力学分析、结构设计、施工技术与工程管理、文字图纸表达等方面的基本训练，掌 握在土木工程项目勘察、设计、施工、管理、教育、投资和开发、金融与保险等部门从事技术或管理 工作的基本能力。 毕业生应获得以下几方面的知识和能力： 1．熟悉哲学、政治学、经济学、法学等方面的基本知识，了解文学、艺术等方面的基础知识， 掌握工程经济、项目管理的基本理论和方法并掌握一门外语； 2．了解物理、信息科学、工程科学、环境科学的基本知识，了解当代科学技术发展的主要趋 势和应用前景，掌握数学和力学的基本原理和分析方法； 3．掌握工程材料的基本性能和选用原则，掌握工程测绘和工程制图的基本原理和方法； 4．掌握工程结构选型、构造、计算原理和设计方法，掌握工程结构CAD和其他软件应用技 术，掌握土木工程施工的一般技术、过程、组织和管理以及工程检测和试验基本方法； 5．了解本专业的有关法规、规范与规程，了解给水与排水、供热通风与空调、建筑电气等相 关知识，了解土木工程机械、交通、环境的一般知识以及本专业的发展动态和相近学科的一般 知识。 6．具有综合运用各种手段查询资料、获取信息、拓展知识领域和继续学习的能力； 7．具有应用语言、图表和计算机技术等进行工程表达和交流的基本能力； 8．掌握至少一门计算机高级编程语言并能解决一般工程问题，具有计算机、常规工程测试 仪器的运用能力； 9．具有综合运用知识进行工程设计、施工和管理的能力； 10.具有初步的科学研究和应用技术开发能力。 主干学科：力学、土木工程。 核心知识领域：力学原理和方法、专业技术相关基础、工程项目经济与管理、结构基本原理、 施工原理和方法、计算机应用技术。 核心课程示例： 示例一：工程力学（1 19学时）、结构力学（102学时）、流体力学（34学时）、土力学（34学 时）、弹性力学（34学时）、土木工程材料（34学时）、土木工程概论（17学时）、工程地质（34学 时）、画法几何与工程制图（68学时）、测量学（51学时）、土木工程法规（17学时）、工程概预算与 招投标（34学时）、荷载与结构设计原则（17学时）、混凝土结构基本原理（68学时）、钢结构基本 原理（43学时）、基础工程设计原理（51学时）、土木施工工程学（43学时）、结构全寿命维护(34 学时)。 示例二：理论力学（48学时）、材料力学（64学时）、结构力学（80学时）、流体力学（24学 时）、土力学（40学时）、土木工程材料（32学时）、土木工程概论（16学时）、工程地质（24学时）、 工程制图（40学时）、测量学（32学时）、土木工程试验（36学时）、工程经济与管理（24学时）、工 程监理概论（24学时）、混凝土结构基本原理（64学时）。钢结构基本原理（32学时）、基础工程 （32学时）、土木工程施工（32学时）、施工组织设计（32学时）。 示例三：理论力学（80学时）、材料力学（80学时）、结构力学（96学时）、水力学（32学时）、 土力学（40学时）、土木工程材料（64学时）、土木工程概论（16学时）、工程地质（24学时）、画法 几何及土建制图（80学时）、土木工程测量（48学时）、结构实验与检测（48学时）、工程项目管理 （24学时）、建设工程法规（24学时）、建设工程经济（24学时）、荷载与结构设计方法（24学时）、 混凝土结构基本原理（72学时）、钢结构基本原理（48学时）、基础工程（40学时）、土木工程施工 技术（56学时）、土木工程施工组织（24学时）。 主要实践性教学环节：实验、实习、设计和社会实践以及科研训练等形式。实验包括基础实 验、专业基础实验和专业及研究性实验3个环节；实习包括认识实习、课程实习、生产实习和毕业 实习4个环节；设计包括课程设计和毕业设计（论文）2个环节。 主要专业实验：材料力学实验、流体力学实验、土木工程材料实验、结构基本构件实验、土力 学实验、土木工程测试技术、土木工程专业实验（结合专业课程）。 修业年限：四年。 授予学位：工学学士。
51_656246,51,656246,电气工程及其自动化（汉）,四年,工学学士,本科(普通),工学,电气类,培养目标：电气工程主要是研究电能的产生、传输、转换、控制、储存和利用的学科。本专 业隶属于电气类，培养具备电气工程领域相关的基础理论、专业技术和实践能力，能在电气工 程领域的装备制造、系统运行、技术开发等部门从事设计、研发、运行等工作的复合型工程科 技人才。 培养要求：本专业学生主要学习电路、电磁场、电子技术、计算机技术、信号分析与处理、电机 学和自动控制等方面的基础理论、专业知识和专业技能。本专业主要特点是强电与弱电相结合、 软件与硬件相结合、元件与系统相结合。本专业学生接受电工、电子、信息、控制及计算机技术方 面的基本训练，掌握解决电气工程领域中的装备设计与制造、系统分析与运行及控制问题的基本 能力。学校可根据情况设置专业方向，如电力系统及其自动化、电机及其控制、高电压技术、电力 电子技术等。 毕业生应获得以下几方面的知识和能力： 1．掌握较扎实的高等数学和大学物理等自然科学基础知识，具有较好的人文社会科学和管 理科学基础，具有外语运用能力； 2．系统地掌握电气工程学科的基本理论和基本知识，主要包括电工理论、电子技术、信息处 理、控制理论、计算机软硬件基本原理与应用等； 3．掌握电气工程相关的系统分析方法、设计方法和实验技术； 4．获得较好的工程实践训练，具有较熟练的计算机应用能力； 5．具有本专业领域内1~2个专业方向的知识与技能，了解本专业学科前沿的发展趋势； 6．具有较强的工作适应能力，具备一定的科学研究、技术开发和组织管理的实际工作能力。 主干学科：电气工程、控制科学与工程。 核心知识领域：电气工程及其自动化专业核心知识领域应涵盖电路、电子、电磁场、信息分析 与处理、自动控制、计算机技术、工程设计等方面的基础理论，以及电力系统及其自动化、电机与 电力拖动、电力电子与电气检测、电力设备与高电压技术等方面的专业知识。此外，建议适当涉 及电气学科的前沿领域和发展趋势，各学校可根据办学特色设置相关课程。 核心课程示例： 示例一：电气学科概论（16学时）、电路基础（64学时）、信号与系统（64学时）、电磁场(32 学时)、数字逻辑电路（64学时）、模拟电子电路（64学时）、数据结构与数据库技术（40学时）、自 动控制原理（48学时）、微机系统与接口（48学时）、电机学（上）（48学时）、电机学（下）（48学 时）、电力电子基础（48学时）、电力系统基础（64学时）、电力传动技术（48学时）、电力系统暂态 分析（48学时）、电气检测技术（48学时）、电力系统继电保护（48学时）。 示例二：电路（72学时）、信号与系统（32学时）、工程电磁场（40学时）、数字逻辑电路( 64 学时)、模拟电子电路（64学时）、数据结构与数据库技术（40学时）、控制工程基础（48学时）、微 机原理与接口技术（72学时）、电机学（上）（32学时）、电机学（下）（48学时）、电力电子技术(48 学时)、发电厂电气工程（48学时）、电力系统分析（64学时）、电力系统继电保护（64学时）。 示例三：电路（96学时）、数字逻辑电路（64学时）、模拟电子电路（64学时）、信号与系统 （48学时）、自动控制理论（56学时）、微机原理与应用（64学时）、电机学（上）（64学时）、电力工 程（上）（64学时）、电力电子技术（48学时）、微机保护基础（48学时）、电力系统自动装置（48学 时）、电力系统继电保护（48学时）、电力系统故障分析（48学时）、工程电磁场（48学时）。 主要实践性教学环节：金工实习、电子电气工艺实习、计算机软硬件实践、电气工程专业课程 设计、综合实验、生产实习、毕业设计（论文）等。 主要专业实验：电路实验、电子技术实验、电机与控制实验、电气工程系统实验、电力电子实 验等。 修业年限：四年。 授予学位：工学学士。
51_1032611,51,1032611,电气工程及其自动化（藏）,四年,工学学士,本科(普通),工学,电气类,培养目标：电气工程主要是研究电能的产生、传输、转换、控制、储存和利用的学科。本专 业隶属于电气类，培养具备电气工程领域相关的基础理论、专业技术和实践能力，能在电气工 程领域的装备制造、系统运行、技术开发等部门从事设计、研发、运行等工作的复合型工程科 技人才。 培养要求：本专业学生主要学习电路、电磁场、电子技术、计算机技术、信号分析与处理、电机 学和自动控制等方面的基础理论、专业知识和专业技能。本专业主要特点是强电与弱电相结合、 软件与硬件相结合、元件与系统相结合。本专业学生接受电工、电子、信息、控制及计算机技术方 面的基本训练，掌握解决电气工程领域中的装备设计与制造、系统分析与运行及控制问题的基本 能力。学校可根据情况设置专业方向，如电力系统及其自动化、电机及其控制、高电压技术、电力 电子技术等。 毕业生应获得以下几方面的知识和能力： 1．掌握较扎实的高等数学和大学物理等自然科学基础知识，具有较好的人文社会科学和管 理科学基础，具有外语运用能力； 2．系统地掌握电气工程学科的基本理论和基本知识，主要包括电工理论、电子技术、信息处 理、控制理论、计算机软硬件基本原理与应用等； 3．掌握电气工程相关的系统分析方法、设计方法和实验技术； 4．获得较好的工程实践训练，具有较熟练的计算机应用能力； 5．具有本专业领域内1~2个专业方向的知识与技能，了解本专业学科前沿的发展趋势； 6．具有较强的工作适应能力，具备一定的科学研究、技术开发和组织管理的实际工作能力。 主干学科：电气工程、控制科学与工程。 核心知识领域：电气工程及其自动化专业核心知识领域应涵盖电路、电子、电磁场、信息分析 与处理、自动控制、计算机技术、工程设计等方面的基础理论，以及电力系统及其自动化、电机与 电力拖动、电力电子与电气检测、电力设备与高电压技术等方面的专业知识。此外，建议适当涉 及电气学科的前沿领域和发展趋势，各学校可根据办学特色设置相关课程。 核心课程示例： 示例一：电气学科概论（16学时）、电路基础（64学时）、信号与系统（64学时）、电磁场(32 学时)、数字逻辑电路（64学时）、模拟电子电路（64学时）、数据结构与数据库技术（40学时）、自 动控制原理（48学时）、微机系统与接口（48学时）、电机学（上）（48学时）、电机学（下）（48学 时）、电力电子基础（48学时）、电力系统基础（64学时）、电力传动技术（48学时）、电力系统暂态 分析（48学时）、电气检测技术（48学时）、电力系统继电保护（48学时）。 示例二：电路（72学时）、信号与系统（32学时）、工程电磁场（40学时）、数字逻辑电路( 64 学时)、模拟电子电路（64学时）、数据结构与数据库技术（40学时）、控制工程基础（48学时）、微 机原理与接口技术（72学时）、电机学（上）（32学时）、电机学（下）（48学时）、电力电子技术(48 学时)、发电厂电气工程（48学时）、电力系统分析（64学时）、电力系统继电保护（64学时）。 示例三：电路（96学时）、数字逻辑电路（64学时）、模拟电子电路（64学时）、信号与系统 （48学时）、自动控制理论（56学时）、微机原理与应用（64学时）、电机学（上）（64学时）、电力工 程（上）（64学时）、电力电子技术（48学时）、微机保护基础（48学时）、电力系统自动装置（48学 时）、电力系统继电保护（48学时）、电力系统故障分析（48学时）、工程电磁场（48学时）。 主要实践性教学环节：金工实习、电子电气工艺实习、计算机软硬件实践、电气工程专业课程 设计、综合实验、生产实习、毕业设计（论文）等。 主要专业实验：电路实验、电子技术实验、电机与控制实验、电气工程系统实验、电力电子实 验等。 修业年限：四年。 授予学位：工学学士。
51_1032616,51,1032616,汉语国际教育（汉）,四年,文学学士,本科(普通),文学,中国语言文学类,培养目标：本专业培养掌握扎实的汉语基础知识，具有较高的人文素养，具备中国文学、中国 文化、跨文化交际等方面的专业知识与能力，能在国内外各类学校从事汉语教学，在各职能部门、 外贸机构、新闻出版单位及企事业单位从事与语言文化传播交流相关工作的中国语言文学学科 应用型专门人才。 培养要求：本专业学生主要学习汉语言及中华历史文化方面的基础知识，接受人文社会科学 的基本训练，掌握综合运用所学知识开展语言文字工作、汉语国际教育以及国际文化交流实践的 基本能力。 毕业生应获得以下几方面的知识和能力： 1．掌握语言学的基础理论和基本知识； 2．具备汉语作为第二语言教学的专业技能，有较强的汉语口头表达和写作能力，能讲比较 标准的普通话，能规范地使用汉字； 3．熟悉中外文学和文化的基本知识，熟练掌握一门外语，并具有一定的跨文化交流能力； 4．熟悉国家有关汉语言文字及其传播的方针、政策和法规； 5．了解本学科领域的理论前沿及发展动态，具有较宽广的文化视野； 6．具有不断获取新知识的能力以及一定的科学研究和实际工作能力，具有一定的批判性思 维能力。 主干学科：中国语言文学。 核心课程：现代汉语、古代汉语、语言学概论、应用语言学、对外汉语教学概论、中国古代文 学、中国现代文学、中国文化通论、写作、外国语（各语种）。 主要实践性教学环节：对外汉语教学实习、中华才艺训练、汉语语言现象以及对外汉语教学 热点问题的研讨等。 修业年限：四年。 授予学位：文学学士。
51_1032617,51,1032617,汉语国际教育（藏）,四年,文学学士,本科(普通),文学,中国语言文学类,培养目标：本专业培养掌握扎实的汉语基础知识，具有较高的人文素养，具备中国文学、中国 文化、跨文化交际等方面的专业知识与能力，能在国内外各类学校从事汉语教学，在各职能部门、 外贸机构、新闻出版单位及企事业单位从事与语言文化传播交流相关工作的中国语言文学学科 应用型专门人才。 培养要求：本专业学生主要学习汉语言及中华历史文化方面的基础知识，接受人文社会科学 的基本训练，掌握综合运用所学知识开展语言文字工作、汉语国际教育以及国际文化交流实践的 基本能力。 毕业生应获得以下几方面的知识和能力： 1．掌握语言学的基础理论和基本知识； 2．具备汉语作为第二语言教学的专业技能，有较强的汉语口头表达和写作能力，能讲比较 标准的普通话，能规范地使用汉字； 3．熟悉中外文学和文化的基本知识，熟练掌握一门外语，并具有一定的跨文化交流能力； 4．熟悉国家有关汉语言文字及其传播的方针、政策和法规； 5．了解本学科领域的理论前沿及发展动态，具有较宽广的文化视野； 6．具有不断获取新知识的能力以及一定的科学研究和实际工作能力，具有一定的批判性思 维能力。 主干学科：中国语言文学。 核心课程：现代汉语、古代汉语、语言学概论、应用语言学、对外汉语教学概论、中国古代文 学、中国现代文学、中国文化通论、写作、外国语（各语种）。 主要实践性教学环节：对外汉语教学实习、中华才艺训练、汉语语言现象以及对外汉语教学 热点问题的研讨等。 修业年限：四年。 授予学位：文学学士。
51_1276,51,1276,交通运输,四年,工学学士,本科(普通),工学,交通运输类,"<p>专业方向：铁路运输；城市轨道交通</p>
<p>【培养目标】</p>
<p>本专业培养适应社会主义现代化建设需要，德、智、体、美全面发展，创新精神和实践能力突出，基础厚、能力强、后劲足的铁路与城市轨道交通系统的高级管理人员、高级规划设计人员、工程技术人员和科研人员。</p>
<p>【主要课程】</p>
<p>（1）主要基础课：高等数学、大学物理、外语、电路与电子技术基础；</p>
<p>（2）专业基础课：运筹学、交通运输规划原理、交通运输系统分析、交通运输信息技术、交通运输经济、运输市场营销学、交通运输统计、城市轨道交通设备、交通工程学基础、安全工程、管理学原理、运输商务等；</p>
<p>（3）主要专业课：行车组织、货物运输组织、旅客运输组织、铁路车站与枢纽、城市轨道交通规划与设计、城市轨道交通运营管理、城市轨道交通安全、集装箱运输与多式联运等。同时，还包括认识实习、生产实习、课程设计、毕业实习及毕业设计等实践教学环节。</p>
<p>【就业方向】</p>
<p>交通运输专业本科生按铁路运输、城市轨道交通两个专业方向进行培养，就业前景良好，多年来毕业生签约率在98%以上，名列全校前茅。铁路运输方向的毕业生主要面向铁路局或公司、设计研究院、大型工矿企业、教育院校等交通运输企事业单位就业；城市轨道交通方向的毕业生主要面向交通管理部门、科研院所、城市轨道交通设计单位、地铁公司、教育院校等企事业单位就业。</p>
<p>【学制】 四年。</p>
<p>【学位】 工学学士</p>"
51_1266,51,1266,车辆工程,四年,工学学士,本科(普通),工学,机械类,【培养目标】 <br> <br>本专业培养具备车辆工程领域设计理论、制造知识、应用能力，能从事铁路、公路交通及城市轨道交通车辆的设计制造、科研开发、应用研究、运用管理和经营管理等方面的工作，具有创新精神和实践能力的高级工程技术人才。 <br> <br>【主要课程】 <br> <br>机车工程方向：机车工程（总体与走行部）、机车电传动与控制、内燃动车组与液力传动、机车制造与修理技术、列车牵引计算。 <br> <br>铁道车辆方向：铁道车辆工程、铁道车辆制动技术、现代铁道车辆装备、铁道车辆制造技术。 <br> <br>机车运用方向：机车运用管理、机车构造原理（一）（机械部分）、机车构造原理（二）（电气部分）、牵引与制动、铁道运输工程。 <br> <br>城市轨道交通车辆方向：城市轨道交通车辆工程、城市轨道交通车辆牵引传动、城市轨道交通车辆牵引计算、城市轨道交通车辆电器与装备。 <br> <br>汽车工程方向：汽车构造、汽车理论、汽车设计、汽车电子技术、汽车振动噪声控制。 <br> <br>【就业方向】 <br> <br>本专业毕业生可在机车车辆、城市地铁及轻轨车辆、汽车的设计制造部门从事研究开发工作，在城市交通系统从事规划、设计、建设、运营、管理等工作。本专业有车辆工程、城市轨道交通技术与设备、载运工具运用工程硕士、博士学位授予权。本专业学生需求量远大于实际毕业生人数，就业率达100%。近年来约有25%的毕业生被推荐免试或考取硕士研究生。 <br> <br>【学制】 4年。 <br> <br>【学位】 工学学士。 <br> <br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br></br>
51_1271,51,1271,电气工程及其自动化,四年,工学学士,本科(普通),工学,电气类,"　　学科：工学 <br />　　门类：电气信息类 <br />　　专业名称：电气工程及其自动化 <br /><br /> <br />　　业务培养目标：本专业培养能够从事与电气工程有关的系统运行、自动控制、电力电子技术、信息处理、试验分析、研制开发、经济管理以及电子与计算机技术应用等领域工作的宽口径""复合型""高级工程技术人才。<br /><br />　　业务培养要求：本专业学生主要学习电工技术、电子技术、信息控制、计算机技术等方面较宽广的工程技术基础和一定的专业知识。本专业主要特点是强弱电结合、电工技术与电子技术相结合、软件与硬件结合、元件与系统结合，学生受到电工电子、信息控制及计算机技术方面的基本训练，具有解决电气工程技术分析与控制技术问题的基本能力。<br /><br />　　毕业生应获得以下几方面的知识和能力：<br />　　1．掌握较扎实的数学、物理、化学等自然科学的基础知识，具有较好的人文社会科学和管理科学基础和外语综合能力；<br />　　2．系统地掌握本专业领域必需的较宽的技术基础理论知识，主要包括电工理论、电子技术、信息处理、控制理论、计算机软硬件基本原理与应用等；<br />　　3．获得较好的工程实践训练，具有较熟练的计算机应用能力； <br />　　4．具有本专业领域内1——2个专业方向的专业知识与技能，了解本专业学科前沿的发展趋势； <br />　　5．具有较强的工作适应能力，具备一定的科学研究、科技开发和组织管理的实际工作能力。 <br /><br />　　主干学科：电气工程、计算机科学与技术、控制科学与工程。 <br /><br />　　主要课程：电路原理、电子技术基础、电机学、电力电子技术、电力拖动与控制、计算机技术、信号与系统、控制理论等。 <br /><br />　　主要实践性教学环节：包括电路与电子技术实验、电子工艺实习、金工实习、计算机软件实践及硬件实践、课程设计、生产实习、毕业设计。 <br /><br />　　修业年限：四年 <br /><br />　　授予学位：工学学士 <br /><br /> <br /><br /> <br />"
51_1315,51,1315,环境设计,四年,艺术学学士,本科(普通),艺术学,设计学类,"<p>培养目标：<br />
环境设计专业包括室内装饰设计、建筑环境与公共环境艺术设计。该专业主干课程包括设计素描、构成设计、建筑设计基础、装饰设计与制作、表现技法、居室空间设计、办公空间设计、商业空间设计、展示空间设计、综合空间设计、景观设计、计算机辅助设计等。<br />
主修课程：<br />
居室空间设计、办公空间设计、商业空间设计、展示空间设计、综合空间设计、景观设计、装饰设计与制作、表现技法<br />
就业方向：<br />
本专业培养德、智、体、美全面发展，能在专业设计部门、装饰公司、装饰工程公司、广告公司及相关企、事业单位、学校从事室内装饰设计、广告装潢设计、环境艺术设计，或从事艺术教学与研究工作的高级艺术专门人才。</p>
<p> </p>
"
