special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
101_4391,101,4391,金融学,四年,经济学学士,本科(普通),经济学,金融学类,◆ 培养目标</br>金融学专业旨在培养掌握宽厚的经济金融理论和扎实的数理知识，具备金融业务操作及金融管理能力，能够胜任银行、证券、保险、信托等金融机构以及金融监管部门和政府部门工作的高端金融专业人才和管理人才。</br>◆ 专业特色</br>金融学专业为我校历史悠久的品牌专业、国家级重点学科、 国家一流本科专业，拥有国家级优秀教学团队教学名师以及国家级实验教学示范中心和实验室，掌握，也重视学生的金融业务操作及金融管理能力的培养。</br>◆ 核心课程</br>货币金融学、公司金融、投资学、商业银行经营管理、国际金融学、计量经济学、金融计量学、金融风险管理、投资银行学、衍生金融工具、中央银行与金融监管等。</br>◆ 毕业去向</br>入职银行、证券、保险、信托等金融机构以及中央银行、金融监管部门、政府部门等单位从事专业相关工作。前往国内名校或本校攻读硕士、博士学位，或赴国外知名大学继续深造。
101_4404,101,4404,财务管理,四年,管理学学士,本科(普通),管理学,工商管理类,◆ 培养目标</br>本专业培养适应新时代中国特色社会主义市场经济建设需要，德、智、体、美、劳全面发展，以深厚的经济学和管理学知识为基础，既有扎实的财务管理专业知识、知晓国内外会计惯例，又适应新技术驱动下的新经济、新业态发展，拥有人工智能与智能财务决策、大数据会计等新型会计业务下学科交叉融合的新知识、新技能、新视野，既懂财务又懂数据科技，集“文理工商”专业知识和综合技能于一身，专业能力强、综合素质高，具有创新精神的跨学科财务管理专门人才。</br>◆ 专业特色</br>学科实力强：本专业为国家级特色专业，国家硕士学位和博士学位授权点，是四川省财务管理本科人才培养建设基地。《财务管理学》获首届全国优秀教材奖，《财务管理》课程为国家级一流本科课程、国家级精品资源共享课程和国家级网络教育精品资源共享课程，其教学成果获得国家级优秀教学成果奖，财务管理教学团队为国家级教学团队。《资产评估》等课程为四川省精品资源共享课程。</br>理念先进：按照AACSB国际商科主流办学模式办学。</br>师资队伍雄厚：通过“可持续海外师资计划”和“光华英才工程”，持续引进具备大数据、人工智能与财务管理学科交叉背景的复合型师资，海归及跨学科师资数居全国首位。</br>跨学科交叉融合培养特色明显：针对业界对大数据财务管理人才的迫切需求，联合数学学院、计算机与人工智能学院和统计学院，共同量身定做跨学科专业培养方案，扎根中国资本市场开发了财务科学与数据科学相结合的系列课程，全面提升学生从事财务智能决策的认知及技能。为优秀学生提供世界顶尖院校申请赴对口专业交流、深造的机会。</br>◆ 核心课程</br>会计专业课程：会计学、管理学原理、货币金融学、政治经济学、宏观经济学、微观经济学、中级财务会计I、中级财务会计II、高级财务会计、会计信息系统、财务管理、商业与财务分析、大数据与财务决策等。</br>数学统计课程：数学分析I（理科）、数学分析II（理科）、高等代数I、高等代数II、数理统计（理科）、计量经济学等。</br>计算机类课程：计算机与大数据基础、程序设计与Python应用、机器学习与数据挖掘等。</br>◆ 毕业去向</br>本方向毕业生不仅适合在会计师事务所、证券公司、基金公司、商业银行、保险公司、上市公司、国有企业、事业单位、政府机关等企事业单位从事传统财务管理、金融投资领域工作，更能够进行复杂大数据会计业务逻辑处理和系统设计工作。
101_4402,101,4402,市场营销,四年,管理学学士,本科(普通),管理学,工商管理类,◆ 培养目标</br>秉承“立足中国西部，融贯全球视野，扎根本土营销”的专业建设理念，紧随数字化技术前沿，致力新财经场景延伸，旨在培养应用型、专业性与国际化相结合，具有数字化思维、扎实理论、卓越技能的复合型创新营销管理人才。</br>◆ 专业特色</br>入选国家级一流本科专业建设点，深耕“金融+”场景延伸，以数字化思维和应用能力培养为核心，通过与著名企业合作开展项目、开设数字化营销课程、推进实践项目、推进数字化营销领域的研究和实践等多个方面，创新打造产学研用一体化的育人模式。</br>◆ 核心课程</br>市场营销学、宏观经济学、会计学、货币金融学、金融科技、数字化管理、消费者行为与心理洞察、全渠道管理与新零售、大数据与智能营销、金融服务营销、品牌营销、广告及媒体管理、营销调研与数据分析、营销策划等。</br>◆ 毕业去向</br>赴北京大学、中国人民大学、天津大学、上海财经大学等国内知名高校深造；赴哥伦比亚大学、曼彻斯特大学、英国伯明翰大学、香港中文大学等境外知名高校深造；到金融机构、数字经济企业、政府部门、事业单位等就业。
101_4398,101,4398,统计学,四年,理学学士,本科(普通),理学,统计学类,◆ 培养目标</br>培养学生掌握统计学专业的基本理论、知识和技能；具备在国内外继续深造的坚实数理基础；具备发现问题、分析问题、解决问题的能力，有较强的自学能力和创新能力；能够在社会各个领域从事统计信息处理和数据分析工作。</br>◆ 专业特色</br>统计学专业以解决实际问题为切入点，进行统计学方法论的学习，理论方法研究和实际应用相结合是其鲜明特色。依靠学校财经特色，注重统计学与经济学的有机结合，培养学生利用概率和统计工具进行数据分析的能力。</br>◆ 核心课程</br>数学分析、高等代数、实变函数论与泛函分析、优化方法、概率论、数理统计、随机过程、时间序列分析、多元统计分析、回归分析、数据挖掘、计算统计、非参数统计、统计软件编程、计量经济学等。</br>◆ 毕业去向</br>学生毕业后可在国内外高校继续深造，在银行、证券、保险等金融机构、政府部门、企事业单位和互联网大数据公司等从事数据分析相关工作。
101_4436,101,4436,审计学,四年,管理学学士,本科(普通),管理学,工商管理类,◆ 培养目标</br>本专业培养适应新时代中国特色社会主义市场经济建设需要，德、智、体、美、劳全面发展，以深厚的经济学和管理学知识为基础，既有扎实的审计学专业知识，知晓国内外审计惯例，又适应新技术驱动下的新经济、新业态发展，拥有大数据、人工智能与审计专业交叉融合的新知识、新技能、新视野，既懂审计又懂数据科技，集“文理工商”专业知识和综合技能于一身，专业能力强、综合素质高，具有创新精神的跨学科复合型审计专门人才。</br>◆ 专业特色</br>学科实力强：审计学专业前身由中国第一号注册会计师谢霖创办，首批国内设置CPA专业方向，为国家硕士学位和博士学位授权点，入选国家级一流专业建设点。《审计学》课程是国家级一流本科课程。</br>理念先进：按照国际领先的AACSB国际商科模式办学，融合数字经济时代前沿理论和实践需求教学。</br>师资队伍雄厚：教学团队囊括了财政部会计名家、教育部新世纪优秀人才支持计划入选者、全国会计领军人才、四川省教学名师等高层次人才，也包括了在全国率先引进的北美名校会计信息系统（AIS）专业的海归博士，师资整体具有审计、数据分析和机器学习等跨学科复合型背景的特征明显。</br>跨学科培养：针对“四大”会计师事务和企事业单位对大数据审计人才的迫切需求，联合数学学院、计算机与人工智能学院和统计学院，共同量身定做跨学科专业培养方案，培养具备大数据思维和数据分析能力的复合型审计人才。为优秀学生提供世界顶尖院校申请赴对口专业交流、深造的机会。</br>◆ 核心课程</br>会计专业课程：会计学、管理学原理、货币金融学、政治经济学、宏观经济学、微观经济学、中级财务会计 I、中级财务会计 II、高级财务会计、会计信息系统、成本管理会计、审计学、大数据审计等。</br>数学统计课程：数学分析I（理科）、数学分析II（理科）、高等代数I、高等代数II、数理统计（理科）、计量经济学等。</br>计算机类课程：计算机与大数据基础、程序设计与Python应用、机器学习与数据挖掘等。</br>◆ 毕业去向</br>本方向毕业生不仅适合在会计师事务所、证券公司、基金公司、商业银行、保险公司、上市公司、国有企业、事业单位、政府机关等企事业单位从事持续审计、自动审计和咨询工作，更能够进行大数据审计业务逻辑处理和系统设计工作。
101_4410,101,4410,劳动与社会保障,四年,管理学学士,本科(普通),管理学,公共管理类,◆ 培养目标</br>致力于培养具有扎实公共经济与社会保障专业理论知识，系统掌握现代数据分析技术，具有较强的实践能力和协作创新精神，具备“大养老、大健康”行业的职业胜任能力，能够利用老龄金融工具、健康管理等商品及服务进行养老财富管理、健康风险管理和养老综合服务，能够胜任企事业单位人力资源管理以及政府相关部门行政或经办管理实务工作的卓越创新型人才。</br>◆ 专业特色</br>国家级一流本科专业建设点。以“厚基础、强数理、重实践”为宗旨，依托公共经济制度与政策学科优势，突出养老保障与老龄化风险治理、医疗保障与健康管理等特色专业方向，适应数字化转型新要求和“大养老、大健康”行业发展新趋势，注重学生“医养康护”四位一体知识体系的培养和综合运用专业理论知识、人工智能与大数据分析技术解决实际问题能力的培养。</br>◆ 核心课程</br>宏观经济学、微观经济学、管理学原理、社会保险、养老保障与退休规划、医疗保障与健康管理、社会救助与慈善、社会保险基金管理、社会保障统计与精算、大数据分析与软件应用、社会保障实务实训（政产学研用共建课程）、社会政策分析等。</br>◆ 毕业去向</br>赴国内外一流高校攻读经济或管理类硕士学位；在金融保险业从事养老金融、健康管理方面的管理和研究工作；在大型股份公司或事业单位从事人力资源、员工福利计划设计管理工作；在政府部门、政策研究部门、企事业单位等从事与劳动和社会保障有关的行政管理、财务管理、政策研究、社区管理与服务等工作。
101_4395,101,4395,法学,四年,法学学士,本科(普通),法学,法学类,◆ 培养目标</br>法学专业旨在培养德法兼修、具有多种学科背景和扎实的专业理论基础、熟练的职业技能、合理的知识结构，适应经济、法律全球化趋势要求，具备高质量法律服务能力与创新创业能力，熟悉和坚持中国特色社会主义法治体系的复合型、应用型、创新性卓越法治人才。</br>◆ 专业特色</br>本专业作为国家级特色专业和四川省重点建设的法学本科人才培养基地，注重法学与财经学科的交叉结合，强调学生职业道德和实践能力培养，采用案例教学、模拟法庭、庭审研讨、法律医院、社会实践等多种教学方式，形成了具有学校特色的复合型、应用型法律人才培养模式。</br>◆ 核心课程</br>习近平法治思想、法理学（含社会主义法治理念）、宪法学、刑法学、民法总论、物权法、民事诉讼法、刑事诉讼法、行政法与行政诉讼法、经济法、知识产权法、商法、环境资源法、国际法、国际经济法、中国法律史、法律职业伦理等。</br>◆ 毕业去向</br>在党政机关（监察委、法院、检察院、公安、司法行政）、金融机构、事业单位、律师事务所等领域从事法律、金融等工作；在国内外知名高校攻读法学、金融学及其他相关学科的研究生。
101_4393,101,4393,金融工程,四年,经济学学士,本科(普通),经济学,金融学类,◆ 培养目标</br>金融工程专业旨在培养综合运用金融理论、数理方法、现代信息与计算机技术、工程式作业流程、金融科技技术等，进行金融资产定价与金融风险管理、金融产品创设与量化策略研发、金融科技实践与创新、金融问题系统性解决方案构建的复合型金融工程人才。</br>◆ 专业特色</br>金融工程专业入选国家一流本科专业建设点，依托“智能金融教育部工程研究中心”和“金融工程专业教育部虚拟教研室两大平台，拥有众多海内外名校博士和多位具有国内外大型金融机构工作经历的金融衍生产品研发、量化策略设计、风险管理咨询、 基金管理实践、金融科技应用方面的专家。金融工程专业结合金融风险管理师（FRM）和量化金融分析师（CQF）知识体系，立足金融科技发展趋势，完善实践实验课程体系，创新人才培养模式，提升综合实践应用能力，注重金融工程理论与方法在复杂金融问题“系统性、工程式、流程化”综合性解决方案方面的应用与创新。</br>◆ 核心课程</br>衍生金融工具、金融风险管理、投资学、固定收益证券、金融工程理论与实务、智能金融、计算金融、算法交易与量化投资分析、金融随机分析、金融计量学、运筹学、行为金融学等。</br>◆ 毕业去向</br>前往国内名校攻读硕士、博士学位；赴英美等国外知名大学继续深造。入职证券公司、基金公司、信托公司、期货公司资产管理公司保险公司等各类金融机构和新兴金融科技企业，从事金融工程研发、金融产品创设、量化策略研究、金融风险管理、金融科技创新等工作。
101_4390,101,4390,财政学,四年,经济学学士,本科(普通),经济学,财政学类,◆ 培养目标</br>本专业培养能够系统掌握现代经济理论与分析方法，准确理解与执行财政政策并解决现实财政经济问题，培养面向政府部门特别是财税部门、事业单位、企业性单位、社会中介组织等从事经济管理工作，具有宽厚的专业基础、强烈的公共意识和社会责任感的创新型、应用型、国际化的财政领域卓越人才。</br>◆ 专业特色</br>本专业成立于1952年，是西南财经大学最早设立的专业之一，荟萃了一批知名财政专家，如陈豹隐、李锐、许延星、左治生、刘邦驰等，学科积淀厚重。本专业现有经济学学士、硕士和博士学位授予权，拥有国务院政府特殊津贴教师、四川省突出贡献专家、学术技术带头人、学术技术带头人后备人选等优秀教师。现已形成“教学名师－海外博士－国内博士”复合型教师团队，注重科研反哺教学，通过研讨式教学和本科科研小组等系列方式打下扎实的经济学研究基础。面向国家需求打造系列财政学双创课程集群，优化学生知识结构，在专业培养中引进大数据、区块链等新技术，培养具备新财经素质与能力的财政卓越人才。</br>◆ 核心课程</br>政治经济学、微观经济学、宏观经济学、货币金融学、统计学、计量经济学、财政学、国家税收、公共财政管理、中国财税史、财政绩效评价、地方财政学（英文）、中级公共经济学、政府会计实务、公共经济政策分析、中国财政制度等。</br>◆ 毕业去向</br>赴国内外高校继续深造攻读研究生；在财政税务部门及其他公共部门、金融行业、大中型工商企业、社会中介机构等从事相关工作。
101_4399,101,4399,管理科学,四年,管理学学士,本科(普通),管理学,管理科学与工程类,◆ 培养目标</br>培养学生运用管理思想、系统方法、数学模型和计算机解决管理活动中的理论与实践问题的能力。使学生能够对管理实践问题进行系统优化分析、设计。培养适应数字经济时代商务智能化发展趋势的管理科学人才。</br>◆ 专业特色</br>管理科学专业为四川省重点学科，以运筹优化技术、大数据建模技术、计算机应用技术和金融科技的交叉融合为特色。实施“平台+导师+项目”三维一体科教融合育人模式，培养全面发展的创新型管理人才。</br>◆ 核心课程</br>微观经济学、宏观经济学、管理学原理、会计学、货币金融学、统计学、管理运筹学、系统工程、运营管理、程序设计、数据挖掘与应用、投资学、证券与期货分析、金融风险管理、企业管理经营决策模拟、经济博弈论等。</br>◆ 毕业去向</br>本专业培养经济与管理复合型的拔尖创新人才，毕业生保研、考研率高，就职于科技公司、数据公司、证券公司、基金公司、消费金融公司、银行、金融监管部门、咨询公司和企事业运营数据分析部门等。
