special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
57_1800,57,1800,通信工程,四年,工学学士,本科(普通),工学,电子信息类,<p>本专业是教育部在全国建设的10 个通信工程第二类特色专业（即紧缺人才专业）之一，也是陕西省首批名牌专业之一。本专业师资力量雄厚，教学实验仪器设备先进，设有通信与信息工程国家级实验教学中心、国家级电工电子实验教学示范中心（联合）以及电子信息与通信工程学科专业实验教学中心。与华为、中兴等国内知名通信设备制造企业有紧密合作关系，在社会上享有很高的声誉，历年来网上排名在全国高校中位居前茅。突出的研究成果有：我国第一个流星余迹通信系统、我国第一套毫米波通信设备、我国第一台共享存储式ATM 交换机等，2003 年主持制定了无线局域网WAPI国家标准，产生了重大的国际和国内影响。图像压缩系统在嫦娥探月工程中成功地完成了对月观测图像的压缩任务。参与研制了高清晰度电视传输系统。目前在通信网络理论与技术、宽带无线移动通信、信道编码与信息传输、图像与视频压缩等领域处于国内领先水平。</p><p></p><p>培养目标：</p><p>      培养通信技术领域高级研究开发型人才，强调“厚基础、强能力、高素质”。培养学生掌握通信工程领域坚实的基础理论、专业基础和专业知识，具有创新意识和较强解决复杂工程问题的能力；可从事通信理论、通信网络、通信系统、通信设备以及信息系统的研究、设计、开发、制造、运营和管理等工作。</p><p></p><p>主要课程：</p><p>      电路分析基础、信号与系统、模拟电子线路、数字逻辑及设计、射频电子线路、计算机语言与程序设计、软件技术基础、微机原理与系统设计、电磁场与电磁波、微波技术与天线、数字信号处理、通信原理、随机信号分析、信息论与编码理论基础、通信网络理论基础、网络与交换、无线通信系统、光通信技术基础、专用集成电路设计、现代通信系统等。</p><p></p><p>毕业去向：</p><p>      本专业每年免试推荐攻读研究生的比例约为18%，其中的25% 推荐到外校攻读硕士或博士学位，主要推荐去向包括清华大学、北京大学、中国科学院等本领域著名的高校和研究机构。同时本专业与国外多所知名高校开展各类合作交流项目，学生可以被推荐到相关国外高校攻读通信领域的硕士或博士学位。毕业生的主要就业方向为华为、中兴、大唐等骨干通信设备制造商，中国移动、中国联通、中国电信等通信运行商，国防军工行业骨干科研院所以及各类IT 企业，就业地域主要为北京、上海以及各省会中心城市，每年就业率均在98% 以上，在业内拥有很高的声誉和认可度，深受用人单位的欢迎。</p><p></p><p>学制：四年授予工学学士学位</p>
57_1756,57,1756,软件工程,四年,工学学士,本科(普通),工学,计算机类,"<p>软件工程专业是国家质量工程建设的首批特色专业和人才培养模式创新实验区，是陕西省普通高等学校名牌专业，获国家级“高等学校特色专业”、“人才培养模式创新实验区”、“专业综合改革试点”,是我校实施教育部“卓越工程师教育培养计划”试点的7个专业之一，本专业软件工程教学团队被评为省级和国家级教学团队。</p><p> </p><p>培养目标：</p><p>      培养德、智、体、美全面发展，具备扎实的自然科学和人文社科基础知识、计算机科学及软件工程理论、软件工程专业及应用知识，而且要使培养的学生具有软件开发能力、软件管理能力、创新和创业意识、团队协作精神及良好的外语综合应用能力，使其成为能够适应技术进步和社会需求变化的高层次、工程型的国际化软件工程专门人才，为振兴民族软件产业、推动西部地区经济发展而服务。</p><p>      采用“面向需求、突出特色、强调工程、分流培养”的模式，针对软件工程研究和应用领域，以及学生的个人志向和定位不同，本专业的培养类型分为专业学术型（攻读学术型硕士或直博）、工程实践型（攻读专业学位硕士）和就业创业型。</p><p></p><p>主要课程：</p><p>      软件工程专业课程由主干必修课程、主干限选课程和任选课程三部分组成，其中主干必修课程包括计算机导论、面向对象程序设计、数据结构、算法设计与分析、离散数学、计算机组成与结构、操作系统、数据库系统概论、软件工程概论、编译原理、Java技术、软件体系结构、软件过程与项目管理、计算机组成与结构课程设计、操作系统课程设计、程序设计基础实训、程序设计综合实训。主干限选课程依据不同的方向开设，每个方向由六门限选课和一门分方向的工程设计构成。</p><p></p><p>毕业去向：</p><p>      本专业毕业生一次性就业率每年为98％以上，就业质量高。就业去向集中在西安高新区和京津地区、沪宁杭地区、珠江三角洲地区，西部地区就业人数逐年增长。一批优秀毕业生跻身于微软、IBM、腾讯、百度、华为、阿里集团等跨国公司和国内知名企业及国有大型企业。</p><p> </p><p>学制：四年      授予工学学士学位</p>"
57_1784,57,1784,电子信息工程,四年,工学学士,本科(普通),工学,电子信息类,<p>本专业始建于1952年由我校创建的全国第一个雷达工程专业，1980年将雷达工程专业和信息工程专业整合为电子工程专业，1999年根据教育部专业调整规划，合并电子工程专业、电磁场与微波技术专业成立了电子信息工程专业。经过60多年的建设，本专业2007年获首批国家级第一类特色专业，2002年获首批陕西省名牌专业，是国家“985平台”重点建设专业，建立了本、硕、博人才培养体系。具有军事电子和厚基础、重工程的专业特色，在国内享有很高的知名度。该专业于2015年通过工程教育专业认证。</p><p></p><p>培养目标：</p><p>      培养厚基础、宽口径、重实践、精术业、素质高、能力强，具有国际视野的行业骨干和引领者。基础理论扎实、知识面宽、实践能力强、富有创新精神，面向电子信息技术、现代国防和信息化建设等领域的研究开发和工程应用技术人才。</p><p>毕业生可报考信号与信息处理、电路与系统、电磁场与微波技术等专业的学术型硕士研究生，或报考电子与通信工程专业的专业型硕士研究生继续深造学习，可从事电子信息科学技术、电磁场与微波技术的开发、工程设计、技术服务和管理工作。</p><p> </p><p>主要课程：</p><p>      高等数学、大学物理、英语、工程图学与计算机绘图、线性代数、场论与复变函数、概率论与数理统计、电路分析基础、信号与系统、电路信号与系统实验、模拟电子技术基础、数字电路与逻辑设计、射频电路基础、电子线路实验、数字信号处理，随机信号分析、自动控制技术、电磁场与电磁波、雷达原理、雷达系统、雷达对抗原理、数字图像处理、数字音视频处理、DSP系统设计、航天技术概论、卫星通信与导航、微波遥感基础、天线原理、电磁兼容原理与技术、微波测量、天线测量、通信原理、计算机网络、微波技术、微波电子线路、计算机文化基础、软件技术基础、微机原理与系统设计、高级语言程序设计、EDA技术、专用集成电路设计等。</p><p></p><p>毕业去向：</p><p>      本专业近五年的平均上研率为50%，其中免试保送研究生超过15％，可保送的学校有北大、清华、中科大、中科院和本校等，也可到国外读研和学院推荐到国外读研。</p><p>      本专业近五年的平均就业率超过98％，就业地区主要有北京、上海、深圳、西安、南京、广州等地区，就业行业主要有雷达、通信、航空航天、计算机、电子信息等，就业单位主要面向科研院所，中兴、华为、海信、大唐等大企业，贝尔、摩托罗拉、诺基亚等合资企业，各省市的移动、联通公司，大专院校、政府公务员以及民营企业等。</p><p></p><p>学制：四年      授予工学学士学位</p>
57_1790,57,1790,自动化,四年,工学学士,本科(普通),工学,自动化类,<p> 本专业是省级特色专业，是基于电子科学、计算机技术和控制理论发展起来的宽口径专业。该专业以自动控制理论为主要理论基础，以电子信息技术、传感器与检测技术、计算机控制技术等作为主要技术手段，对各种自动化装置和系统实施检测与控制。该专业是将计算机硬件与软件结合、机械与电子结合、元件与系统结合、运行与制造结合，集控制科学、机械工程、电子信息技术、计算机技术为一体的综合性学科专业。</p><p> </p><p>培养目标：</p><p>    本专业旨在培养满足创新型国家发展需要、基础知识厚实、工程实践能力强、有组织能力和国际视野的自动化领域创新型人才，坚持“基础厚、口径宽、能力强、素质高、复合型”的人才培养观，培养在运动控制、工业过程控制、电力电子技术、检测与自动化仪表等领域从事系统分析、系统设计、系统运行、科技开发、集成、测试、应用、管理、维护与技术支持工作的优秀人才。</p><p> </p><p>主要课程：</p><p>    电路分析基础、信号与系统、模拟电子技术基础、数字电路与逻辑设计、数据结构与数据库、微机原理与系统设计、自动控制原理、电机与拖动、电力电子技术、传感器原理与应用、系统仿真、现代控制理论、运动控制、机器人技术、数控技术、工程力学、过程控制、计算机通信与网络、现场总线技术、可编程控制器、机械设计基础、MATLAB语言、数字信号处理、计算机控制技术、单片机原理及应用、离散数学、计算方法、数字图像处理、模糊理论与模糊控制、微机信息管理及多媒体技术、检测与估值、智能控制概论、最优控制理论导论、最优化方法、嵌入式计算机导论等。</p><p></p><p>毕业去向：</p><p>    本专业近年来每年保送和考取研究生的人数达到应届毕业生的35%―42%。毕业生就业率一直保持在98％以上，学生分布于全国各个城市的跨国公司、国家重点企、事业单位等，尤其在长三角和珠三角地区受到广泛好评。</p><p></p><p>学制：四年      授予工学学士学位</p>
57_1794,57,1794,机械设计制造及其自动化,四年,工学学士,本科(普通),工学,机械类,<p>本专业是国家级特色专业和陕西省名牌专业，始创于二十世纪六十年代，是我国最早的以机为主、机电结合的交叉与边缘学科专业，2014年被遴选为陕西省专业综合改革试点项目，建有“机械设计制造及其自动化”省级人才培养模式创新实验区，“机械设计制造及其自动化”省级教学团队。现拥有机械工程一级学科的博士后科研流动站和机械制造及其自动化、机械电子工程、机械设计及理论等博士、硕士点；拥有“电子装备结构设计”教育部重点实验室。本专业曾培养出全国“五一”劳动奖章获得者、中国工程院院士段宝岩教授等一大批知名学者、工程技术人员和高级专业管理人才。另外，本专业培养的3名博士分别荣获2005年全国百篇优秀博士论文称号和2004年、2012年全国百篇优秀博士论文提名奖。</p><p></p><p>培养目标：</p><p>      培养满足创新型国家发展需要、基础知识厚实、工程实践能力强、有组织能力和国际视野的机械领域创新型人才，能从事机械设计制造及自动化领域中的设计制造、科学研究、应用开发等方面工作的机电一体化复合型高级人才。</p><p>通过3-5年实际工作的锻炼，期望达到如下目标：</p><p>    ① 具备良好的社会责任感、职业道德水准和敬业精神，有意愿和能力服务国家和社会；</p><p>    ② 能够独立承担复杂机电产品和装备的研发、设计、制造、测试等工作；</p><p>    ③ 具有较强的工程创新能力，成为科研院所及企事业单位的中坚力量和业务骨干；</p><p>    ④ 具备良好的团队协作精神，作为初级领导或者重要成员有效地发挥作用；</p><p>    ⑤ 具有广阔的国际视野，能够通过继续教育或其它学习途径更新其核心知识和能力，部分毕业生通过研究生教育能够开展横跨不同学科领域的科学研究。</p><p></p><p>主要课程：</p><p>      机械制图、计算机图形学基础及应用、理论力学、材料力学、机械原理、机械设计、机械制造基础、电路分析基础、模拟电子技术基础、数字电路与逻辑设计、微机原理与系统设计、自动控制原理、液压与气动技术、现代电子装联工艺学、电子设备热控制技术、电磁兼容技术等。</p><p> </p><p>毕业去向：</p><p>      本专业毕业生就业率始终保持在97％以上，多数毕业生就业主要在北京、上海、深圳、西安、南京、广州等地区，就业行业主要有机械、雷达、通信、航空航天、计算机、电子信息等，就业单位主要面向国防军工行业骨干科研院所以及各类IT 企业，主要从事科学研究、产品研发和技术管理等方面的工作。此外，近年来保送和考取研究生的人数约占应届毕业生的35%―42%。</p><p> </p><p>学制：四年  授予工学学士学位</p>
57_1789,57,1789,计算机科学与技术,四年,工学学士,本科(普通),工学,计算机类,<p>本专业始建于1958年，是国内最早设立该专业的院校之一。本专业是国家一类特色专业建设点和卓越工程师计划培养专业，建设有国家级实验教学示范中心，2007年和2013年分别通过国际工程教育专业认证。本专业50余年来为国家培养了大批高级专业人才，很多已经成长为科研院所所长、总工、高校学术精英、企事业技术骨干和解放军将军等，在同行业具有重要的影响。</p><p> </p><p>培养目标：</p><p>      本专业旨在培养满足创新型国家发展需要、基础知识厚实、工程实践能力强、有组织能力和国际视野的计算机领域创新型人才，坚持“基础厚、口径宽、能力强、素质高、复合型”的人才培养观，向国家信息技术产业提供具备从事计算机基础及应用研究，计算机硬件系统、软件系统及网络系统的设计与开发等能力的高级专业技术人才及行业骨干。本专业学生毕业5年后，通过主持或者参与中等规模以上计算机软硬件系统设计、开发和测试工作，能够成长为高级研发工程师、高级技术经理等行业骨干力量。</p><p> </p><p>主要课程：</p><p>      模拟电子技术基础、数字电路与逻辑设计、计算机导论与程序设计基础、数据结构、离散数学、计算机组织与体系结构、微机系统、操作系统、计算机通信与网络、软件工程、数据库系统、编译原理、人工智能，算法分析与设计等。</p><p> </p><p>毕业去向：</p><p>      本专业毕业生可在计算机科学与技术领域继续深造，也可考取计算机类其他专业硕士研究生。毕业生每年考取研究生比例在30%以上，其中约有18%直接获得免试推免硕/博士生资格。就业面向IT及互联网高科技术企业，航空、航天、兵器、电子、船舶等国家重点研究所和国有大型企事业单位等，毕业生质量在国内享有较好的声誉，毕业生在知名IT及互联网企业的数量和薪酬待遇均位居全国前列。</p><p> </p><p>学制：四年      授予工学学士学位</p>
57_1783,57,1783,信息管理与信息系统,四年,管理学学士,本科(普通),管理学,管理科学与工程类,<p> 本专业为陕西省名牌专业和特色专业，是集信息技术与管理科学于一体，实践性和创新性很强的交叉学科。</p><p> </p><p>培养目标：</p><p>      本专业培养具备现代管理学理论基础、计算机科学技术知识及应用能力的应用型专门管理人才。</p><p></p><p>主要课程：</p><p>      信息分析与预测、预测与决策、信息计量学、离散数学基础、程序设计、电子商务导论、专业英语、信息组织、信息存储与检索、信息系统分析与设计、信息安全、竞争情报、管理沟通、网络营销、商务网站设计与开发、数据质量、信息经济学、信息技术前沿</p><p></p><p>毕业去向：</p><p>      主要为国家各级管理部门、工商企业、金融机构、科研单位等。近年来的就业率为97.6%。本专业毕业生可报考全国高校经管类相关专业硕士研究生，优秀毕业生可推荐免试攻读本校或外校硕士研究生。</p>
57_1768,57,1768,数学与应用数学,四年,理学学士,本科(普通),理学,数学类,<p>本专业是陕西省名牌专业和特色专业，获陕西省专业综合改革试点立项支持建设。本专业旨在培养具备扎实的数学基础和熟练的计算机技术并能运用数学方法解决工程技术、经济管理等领域实际问题的科技人才。本专业具有理工结合、学科交叉、学以致用的特色。培养的学生实践创新能力强，多次获得国际、国内数学建模一等奖，毕业生中有2人曾获全国优秀博士学位论文。</p><p> </p><p>培养目标：</p><p>      培养具备扎实的数学基础和熟练的计算机技术并能运用数学方法解决工程技术、经济管理等领域实际问题的科技人才。</p><p> </p><p>主要课程：</p><p>      数学分析、高等代数、解析几何、常微分方程、数值分析、实变与泛函、数学物理方程、概率与统计、数学建模、复变函数、离散数学、普通物理、电路与系统、微机原理与系统设计、高级语言程序设计、运筹学与最优化、随机过程、系统仿真和金融数学等。</p><p></p><p>毕业去向：</p><p>      本专业毕业生基础好、出路广、后劲足，就业率在97%以上，大多数分布于科研院所、IT行业、国家机关、金融保险等行业。毕业生既可以在本学科继续深造，也可以跨学科报考计算机、通信、电子、经济、金融、管理等专业的研究生，而且深受这些专业的青睐。出国攻读学位的人数占毕业生约6%，包括哥伦比亚大学、香港科技大学、悉尼大学等名校。每届约有45%的毕业生通过考取或推免攻读研究生。</p><p> </p><p>学制：四年      授予理学学士学位</p>
57_1802,57,1802,信息工程,四年,工学学士,本科(普通),工学,电子信息类,<p> 本专业是陕西省首批名牌专业之一，是国家为培养宽口径信息领域高级专门人才而设置的引导性目录专业，其专业方向覆盖了通信工程和电子信息工程。本专业的前身是我校20世纪50年代末设立的信息论专业，是我国最早培养信息系统与信息技术人才的基地之一。专业师资力量雄厚，教学实验仪器设备先进，设有通信与信息工程国家级实验教学中心、国家级电工电子实验教学示范中心（联合）、电子信息与通信工程学科专业实验教学中心以及网络与信息安全国家级教学虚拟仿真实验中心。培养出科技部党组书记、常务副部长王志刚、“神舟”号飞船系统副总设计师，“天宫一号”总设计师杨宏等在内的一大批人才，在国内学术界享有很高的声誉。</p><p> </p><p>培养目标：</p><p>      培养基础理论扎实，理论实际并重，专业口径宽，适应性强，发展后劲充足，综合素质高，掌握信息系统及信息技术研究、设计、制造、应用和开发的高级工程技术人才。</p><p></p><p>主要课程：</p><p>     电路分析基础、信号与系统、模拟电子线路、数字逻辑及设计、高频电子线路、计算机语言与程序设计、软件技术基础、微机原理与系统设计、数字信号处理、随机信号分析、信息论基础、信息网络理论基础、通信原理、电磁场与电磁波、光通信技术基础、现代通信系统与技术系列讲座、编码理论基础、信号检测与估值理论、通信网的安全和保密等。</p><p> </p><p>毕业去向：</p><p>      本专业每年免试推荐攻读研究生的比例约为18%，可在本校或外校攻读硕士或博士学位，主要推荐去向包括清华大学、北京大学、中国科学院等本领域著名的高校和研究机构。同时本专业与国外多所知名高校开展各类合作交流项目，学生可以被推荐到相关国外高校攻读通信领域的硕士或博士学位。毕业生的主要就业方向为华为、中兴、大唐等骨干通信设备制造商，中国移动、中国联通、中国电信等通信运行商，国防军工行业骨干科研院所以及各类IT 企业，就业地域主要为北京、上海、广东以及各省会中心城市，每年就业率均在98% 以上，在业内拥有很高的声誉和认可度，深受用人单位的欢迎。</p><p> </p><p>学制：四年      授予工学学士学位</p>
57_1799,57,1799,空间信息与数字技术,四年,工学学士,本科(普通),工学,计算机类,<p>本专业是适应我国现代化对空间信息科学与技术专业人才的迫切需要而创设的新专业。我校是全国开设空间信息与数字技术专业较早的院校之一。本专业师资力量雄厚，科研经费充足，研究成果突出。近几年承担了卫星通信新体制、卫星网络与交换、卫星图像压缩、深空通信、嫦娥探月工程等项目的研究，取得多项科研成果，为我国的国防建设和国家信息化建设做出了较大的贡献，特别是图像压缩系统在嫦娥探月工程中成功地完成了对月观测图像的压缩任务。</p><p> </p><p>培养目标：</p><p>     以数学、物理、外语、信息基本理论为基础，注重学习通信、信息网络与信息系统、数字技术、信息和信号处理、软件开发等基本理论和技术，学习空间信息的获取、数字表达和应用等方面的关键技术、研究方法、典型设备、部件的分析、设计、开发和研究的方法和能力。</p><p></p><p>主要课程：</p><p>     电路分析基础、信号与系统、模拟电子线路、数字电路与系统设计、高频电子线路、计算机语言与程序设计、软件技术基础、微机原理与系统设计、数字信号处理、随机信号分析、信息论基础、空间信息分析理论、地理信息系统、通信原理、电磁场与电磁波、数字工程的原理和方法、数据库原理与设计、算法与数据结构、虚拟现实与仿真、网 络程序设计、数字图像处理基础、深空通信、卫星通信、电子测量技术、数字测图、GPS 定位技术、多媒体技术等。</p><p> </p><p>毕业去向：</p><p>     本专业可以选择空间信息科学与技术和通信与信息系统为深造学科。每年免试推荐攻读研究生的比例约为 20%，其中的25% 推荐到外校攻读硕士或博士学位。同时本专业学科也可被推荐到相关国外高校攻读信息领域的硕士或博士学位。毕业生可以从事信息和通信系统、数字化国土、数字化城市的研究设计和开发工作，也可以在政府管理部门、军事、经济、科学研究部门从事系统管理工作，就业去向是国内 IT 企业、电信运营商及科研院所等。</p><p></p><p>学制：四年      授予工学学士学位</p>
