special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
50_1392,50,1392,经济学,四年,经济学学士,本科(普通),经济学,经济学类,<p>本专业是全国重点教学基地、国家人才培养模式创新实验区、全国普通高等学校特色专业建设点和省级示范性专业，全国13家国家经济学基础人才培养基地之一(其中包括中国人民大学，北京大学，复旦大学，厦门大学等)，拥有国家级教学团队。本专业下设“基地班”，主要培养理论基础扎实、具有较高水平和能力的专门人才，为学生进入硕士、博士层次学习与研究奠定坚实基础，奖学金额度高，每年推荐50%成绩优异学生免试到国内一流大学和高水平大学攻读硕士学位。</p><p> 本专业培养具有较扎实的马克思主义经济学理论功底、较宽厚的现代经济学基础、较全面的经济史和经济思想史知识、较熟练的数量分析和统计分析技术、较好的外文阅读能力和听写说能力、较强的独立分析问题和解决问题能力，“知识、能力、素质协调发展”，能在高等学校和科研机构、政府部门、企事业单位从事经济学教学研究和经济管理等方面工作的高素质专门人才和拔尖创新人才。主要课程：高等数学、政治经济学、西方经济学、《资本论》选读、统计学、计量经济学、国际经济学、货币银行学、财政学、信息经济学、博弈论、经济思想史、发展经济学、中外经济史、计算机基础、会计学、证券投资学等。</p>
50_1412,50,1412,哲学,四年,哲学学士,本科(普通),哲学,哲学类,<p>本专业培养具备较高的哲学理论素养、系统的专业基础知识，既能成为哲学研究的专业型人才，又能成为国家机关、企事业单位实际工作的应用型、复合型人才。近几年，近半数的毕业生被北京大学、中国人民大学、北京师范大学、中央党校、吉林大学等录取为硕士研究生。主要课程：哲学导论、马克思主义哲学史、中国哲学史、西方哲学史、现代西方哲学、中国现代哲学、科学技术哲学、马克思主义哲学原著导读、外国哲学原著导读、中国哲学原著导读、心理学、伦理学、宗教学等。</p>
50_562756,50,562756,广播电视编导,四年,艺术学学士,本科(普通),艺术学,戏剧与影视学类,本专业培养具备广播电视节目编导、制作等方面的专业知识与能力，适合在广播电影电视系统和文化部门从事广播及电视节目编导、制作等方面工作的高级人才。主要课程：传播学、艺术学概论、电视艺术概论、影视作品分析、视听语言、电视节目制作、摄像技术、照明技术、电视节目策划、电视纪录片创作、广播电视与新媒体等。
50_562757,50,562757,播音与主持艺术,四年,艺术学学士,本科(普通),艺术学,戏剧与影视学类,本专业培养具备语言文学、播音学以及艺术学、美学、传播学等多学科知识与能力，适合在广播电台、电视台及其它单位从事口语传播工作的复合型高级人才。主要课程：播音发声、播音创作基础、广播播音主持、电视播音主持、文艺作品演播、播音学概论、新闻学概论、新闻采编、广播电视节目制作等。
50_562759,50,562759,表演,四年,艺术学学士,本科(普通),艺术学,戏剧与影视学类,本专业培养具备丰富的表演理论知识，具有生动塑造人物形象的表演技能和个性化创作能力的影视、戏剧表演方面的艺术人才。主要课程：表演基础、台词、话剧多幕剧排练、形体、声乐、经典戏剧赏析、表演理论、艺术概论等。
50_562761,50,562761,戏剧影视文学,四年,艺术学学士,本科(普通),艺术学,戏剧与影视学类,本专业培养具备丰富的编剧理论知识、编剧创作技能及认识、提炼生活能力的戏剧、影视创作方面的编剧人才。主要课程：剧本创作、戏剧赏析、微电影创作、文艺理论、戏剧影视艺术概论、视听语言、中国古代文学、中国现当代文学、外国文学、中外戏剧史等。
50_562755,50,562755,翻译,四年,文学学士,本科(普通),文学,外国语言文学类,"翻译专业是文化传播的基础应用学科。本专业以培养“应用型、专业化、国际化”翻译人才为目标，以语言技能训练和翻译基本功打造为宗旨。使学生掌握外语语言及相关人文方面的基础知识，具有扎实的外语语言基础和较强的语言交际能力，了解中国和目的语国家的社会、文化、历史、地理、政治和经济等多方面的专业知识。
本专业培养外汉双语翻译人才，具有较强的外汉两种语言与文化的转换和沟通能力。为外事、外交、外经贸、外资企业、国际文化、科技交流、旅游等部门培养口译、笔译高层次人才。主要课程：基础英语、高级英语、英汉互译技巧、口译初步与视译、英语视听、英语口语、英语阅读、英语写作、英语国家社会与文化、英语语法、翻译概论、现代汉语、古汉语选读、交替传译、同声传译等。"
50_562754,50,562754,商务英语,四年,文学学士,本科(普通),文学,外国语言文学类,本专业是以英语为目的语、以商务英语为研究方向的复合型专业。其专业内容既包括英语知识的传授、英语语言基本技能和交际能力的培养，也包括国际商务活动所必备的理论知识讲解、经济学、管理学基本理论的介绍。专业着重培养学生熟练掌握英语基础知识和基本技能，使学生具有较强英语实际交际能力，并了解国际经济贸易及商务的基础理论、基础知识和基本技能，具备在涉外商务部门、外资企业、政府机构、高校等单位从事实际业务、管理、宣传策划、教学等工作能力的外向型、复合型、实用型高级人才。主要课程：基础英语、高级英语、商务英语翻译、商务英语口译、英语听力、英语口语、英语阅读、英语语法与写作、商务交际英语、主要英语国家社会与文化、商务英语写作等。
50_562753,50,562753,国际商务,四年,管理学学士,本科(普通),管理学,工商管理类,本专业旨在培养学生掌握系统的国际商务理论知识，具备熟练的外语应用能力和从事专业理论研究与实际操作的基础技能，适合在涉外经贸企业、跨国公司等相关领域工作的复合型高级人才。</br>主要课程：国际市场营销、国际商务环境、微观经济分析、国际经济与金融、国际经济分析、战略国际贸易运营、国际贸易实务等课程。
50_562762,50,562762,音乐表演,四年,艺术学学士,本科(普通),艺术学,音乐与舞蹈学类,本专业培养能够具有中外音乐理论素养，并具有高水平音乐表演、教学、研究才能的专门人才。主要课程：基础乐理、视唱练耳、器乐演奏、器乐选修、室内乐编排、合奏。
50_562763,50,562763,舞蹈学,四年,艺术学学士,本科(普通),艺术学,音乐与舞蹈学类,本专业培养具有良好的舞蹈素养，扎实的专业基本功和熟练的专业技能，从事舞蹈表演、创作、教学及民族民间舞蹈的文化传承的艺术人才。主要课程：舞蹈基本功训练、东北民族民间舞蹈训练、中国民族民间舞蹈训练、民间舞蹈编导、舞蹈教学法、剧目实习、现代舞、中国舞蹈史、外国舞蹈史。
50_562767,50,562767,物理学,四年,理学学士,本科(普通),理学,物理学类,本专业培养学生掌握现代物理学的基础知识、技能和实验方法。接受科学研究的初步训练，为继续深造和从事科研、教学或技术工作奠定坚实的基础。主要课程：力学、热学、电磁学、光学、数学物理方法、理论力学、电动力学、热力学与统计物理、量子力学、近代物理实验、物理学专业实验、物理学应用研究型实验等。
