special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
119_5788,119,5788,安全工程,四年,工学学士,本科(普通),工学,安全科学与工程类,"<p style=""text-indent: 2em;"">安全工程专业是国家级一流本科专业、全国工程教育专业认证专业。专业面向国家能源战略安全、双碳战略等国家重大需求，聚焦“储能与工业安全、智慧城市安全与应急”两个主要方向，培养具有优良的思想品格、深厚的人文素养、扎实的基础理论和专业知识、强烈的创新意识、宽广的国际视野的行业精英和国家栋梁，为国家能源资源开发与储存、城市公共安全与应急等领域发展服务。</p><p style=""text-indent: 2em;"">专业拥有中国工程院院士、长江学者、万人计划领军人才、海外优青等高层次师资队伍，近五年主持或参加国家/国际重大事故调查、事故抢险、应急救援、安全评审、安全检查等安全科技服务200余次，为保障我国工业安全生产和可持续发展做出了突出贡献。</p><p style=""text-indent: 2em;"">专业培养能从事安全科学技术研究、安全评价、安全监察、安全设计、应急救援与管理、安全教育与培训等方面工作，为国家能源、资源、建筑、机械、化工等领域服务的高级工程技术、研发和管理人才。核心课程：安全系统工程、事故调查与案例分析、安全人机工程学、防灭火与防爆技术、安全监测监控技术、工程燃烧学、安全管理与法学、安全评价、职业卫生。</p>"
119_5813,119,5813,给排水科学与工程,四年,工学学士,本科(普通),工学,土木类,"<p style=""text-indent: 2em;"">本专业创办于1955年，是国内首批通过工程教育评估（认证）、唯一通过英国皇家注册水务与环境管理工程师协会（CIWEM）国际认证的专业；现为国家级优势特色专业、国家卓越工程师培养计划专业，国家工程教育实践基地合作建设单位，于2019年入选国家首批一流专业建设点，2022年2月“给排水科学与工程专业课程群虚拟教研室”入选教育部首批虚拟教研室建设试点名单；是住建部高等教育给排水科学与工程专业评估委员会主任委员所在单位，教育部高等学校给排水科学与工程专业教学指导分委员会副主任委员单位；是《中国大学及学科专业评价报告》（2021-2022）中的5★+专业，位列全国设有给排水科学与工程专业的174所高校的第一名。本专业一贯重视课程建设，《给排水管道系统》入选首批国家级一流课程，《水质工程学》《流体力学》入选重庆市一流课程。多本教材入选国家级或省部级规划教材。</p><p style=""text-indent: 2em;"">本专业是为城镇供排水工程设施建设、国家生态文明建设等提供技术与人才支撑的核心学科专业，培养具备扎实的自然科学基础和人文科学知识，掌握给排水科学与工程学科专业理论知识，具有良好的社会和职业道德、创新意识和实践能力，有效的表达与交流能力，具有一定的国际视野，独立工作、团队合作和终生学习能力，适应社会需求及驾驭未来的高素质工程创新人才。</p><p style=""text-indent: 2em;"">培养的人才服务于水资源保护与利用、城镇给水排水、建筑给水排水与消防、工业水处理、城市水系统等领域，以及城镇建设相关的智慧水务、水安全、水生态和水环境等方面，近年来毕业生一直供不应求。有超过50%的毕业生选择攻读研究生及出国深造，学生大多到清华大学、北京大学、同济大学、哈尔滨工业大学、重庆大学、美国斯坦福大学、英国帝国理工学院、荷兰瓦赫宁根大学等高校继续攻读研究生，继续深造已成为本专业毕业生的热门选择。</p>"
119_5787,119,5787,环境工程,四年,工学学士,本科(普通),工学,环境科学与工程类,"<p style=""text-indent: 2em;"">本专业创办于1985年，是国家优势特色专业，先后两次通过中国工程教育专业认证，是国家工程教育实践基地合作建设单位，于2019年入选国家首批一流专业建设点，是《中国大学及学科专业评价报告》（2021-2022）中的5★专业。本专业教师中，1人任教育部环境科学与工程类专业教学指导委员会委员，1人任全国工程专业学位研究生教育指导委员会环境工程领域指导专家组副组长，国家级人才计划入选者2人，省部级人才计划入选者3人。</p><p style=""text-indent: 2em;"">本专业根据国家生态文明建设、环境保护和绿色发展的需要，培养具有全球视野、创新意识、人文情怀、职业道德和团队精神，具备宽广的基础理论知识、扎实的专业知识、通晓环境工程基本原理，掌握环境工程专业技能，在环境工程特别是水污染控制、固体废物处理处置与资源化、环境规划与管理等领域从事新技术开发、工程设计、科学研究、环境咨询等工作，并具备创新性解决新型城镇化过程中复杂环境问题能力的高级工程技术与管理人才。近年来毕业生深造率稳定在60%以上，学生大多到北京大学、清华大学、浙江大学、同济大学、南京大学、中国科学技术大学、重庆大学、斯坦福大学、哥伦比亚大学、代尔夫特理工大学等高校继续攻读研究生。</p>"
119_5766,119,5766,应用物理学,四年,理学学士,本科(普通),理学,物理学类,"<p style=""text-indent: 2em;"">本专业开设信息光学、激光技术及应用、传感器技术、无损检测等课程。</p>"
119_5767,119,5767,应用化学,四年,"理学学士,工学学士",本科(普通),理学,化学类,"<p style=""text-indent: 2em;"">本专业学制4年，毕业时授予工学学士学位核心课程：电化学原理、应用电化学、工业催化、化工新材料基础。</p><p style=""text-indent: 2em;"">本专业特色为应用电化学和电化学储能。培养具有宽广深厚的理论基础、扎实的实践技能和专业学科知识的综合型人才；培养具有创新意识强、团队协作好、综合素质高的学科交叉型人才。本专业与国家新能源战略发展契合度高，在新能源材料、新能源电池的研发与制造相关领域突显优势。本专业毕业生在新能源电池、新能源材料、化工、生命科学、航空航天新材料等领域从事科学研究、技术与管理等；也可在高等院校、科研院所和政府机关从事教学、科研与管理工作。</p>"
119_5789,119,5789,化学工程与工艺,四年,工学学士,本科(普通),工学,化工与制药类,"<p style=""text-indent: 2em;"">化学工程与工艺专业学制4年，毕业时授予工学学士学位。</p><p><strong>核心课程</strong></p><p style=""text-indent: 2em;"">化工原理、化工热力学、化工反应工程、化工过程设计本专业以智能绿色化工为特色，专注化学工业领域契合国家“双碳”战略的新工艺与新技术，培养具有坚实化学工程专业理论基础、扎实工程实践技能、广阔科学知识和健全人格品质的综合型高素质人才，注重学生的创新意识、协作能力、社会责任和国际视野的提升，毕业生能够胜任化学工程、生物医药、智能制造、环境、能源、材料、食品的等多种产业，从事相关领域技术研发、工程设计、生产管理和科学研究工作。</p>"
119_5793,119,5793,生物工程,四年,工学学士,本科(普通),工学,生物工程类,"<p style=""text-indent: 2em;"">生物工程专业是国家级“一流专业”建设点，“国家高等学校第一类特色专业建设点”，在2012中国大学专业排行榜中（来自武书连《中国大学评价》），生物工程专业被评为12个等级中的最高级--A++级，位列全国233个相同专业高校的前2%。</p><p style=""text-indent: 2em;"">本专业侧重于医学生物工程，重点培养具备能够解决药/医制品设计与研发、生产制造及监控等环节中复杂问题的创新工程技术人才，服务国家与地方生物医药产业。本专业重点学习理化生医基础知识和分子微观工程原理、宏观工程原理，训练对生物大分子、细胞、组织/生物体的操控技能以及药/医制品设计、制备/加工、分离纯化、质量分析与检测等相关的基本技能。通过本专业的学习，学生将建成数理化生工药/医的多学科集成知识体系，具备针对特定药/医制品进行设备选型、反应器设计、工艺研究与开发的能力以及解决相关复杂工程问题的能力。</p>"
119_5792,119,5792,生物医学工程,四年,"理学学士,工学学士",本科(普通),工学,生物医学工程类,"<p style=""text-indent: 2em;"">生物医学工程专业是国家级“一流专业”建设点、重庆市首批 “一流专业”建设点、重庆市“三特”本科专业。</p><p style=""text-indent: 2em;"">本专业重点学习生物医学、电子信息等基础理论知识，掌握医疗健康信息检测与分析处理、医疗电子仪器设计等专业知识和实践能力，面向大健康产业培养医工交叉复合型创新人才。通过本专业的学习，将具备生物医学、电子信息技术、医疗健康数据获取与分析处理的专业知识，具有将电子信息与工程技术用于解决医疗健康复杂工程问题的知识运用和医工融合实践创新能力。</p><p style=""text-indent: 2em;"">通过本专业的学习，学生将具备医疗电子电路分析、医学信息检测装置与软件设计等技能，具有医疗仪器与健康装备系统设计、医疗健康数据分析的科学研究和工程实践能力，可从事医工交叉融合的医疗健康工程及相关领域的项目策划、组织实施、技术应用推广等工程技术或组织管理工作。</p><p><img src=""https://static-data.eol.cn//upload/image/202406/core_1719295240_7888_thumb.png"" title=""core_1719295240_7888_thumb.png""/></p><p><img src=""https://static-data.eol.cn//upload/image/202406/core_1719295239_3900_thumb.png"" title=""core_1719295239_3900_thumb.png""/></p><p><img src=""https://static-data.eol.cn//upload/image/202406/core_1719295240_8115_thumb.png"" title=""core_1719295240_8115_thumb.png""/></p><p style=""text-indent: 2em;""><br/></p>"
119_5804,119,5804,英语,四年,文学学士,本科(普通),文学,外国语言文学类,"<p style=""text-align: center;""><img src=""https://static-data.eol.cn//upload/image/202406/core_1719384144_4074_thumb.jpg"" title=""core_1719384144_4074_thumb.jpg"" alt=""core_1719384144_4074.jpg""/></p>"
119_5755,119,5755,金融学,四年,经济学学士,本科(普通),经济学,金融学类,"<p style=""text-indent: 2em;"">国家级一流本科专业建设点、重庆市一流本科专业建设点、重庆市优势特色专业。金融是货币流通和信用活动以及与之相联系的经济活动的总称，核心是跨期的资源配置与价值交换，研究对象为货币、信用、金融市场与金融机构、货币供求、金融调控与监管等。现代金融人才不仅应具备扎实的金融理论基础，也应当具有较高的计算机运用水平和语言能力以适应金融科技及国际化发展的趋势。</p><p style=""text-indent: 0em;""><strong>主干课程</strong></p><p style=""text-indent: 2em;"">宏微观经济学、金融学、国际金融、投资学、公司金融、商业银行经营管理、金融市场与金融机构、金融风险管理与保险、中央银行学、金融衍生工具、金融科技、金融经济学、投资银行学等。</p><p style=""text-indent: 2em;"">培养学生扎实的金融经济知识、独立的思考探索能力、高度的国际化视野，能够胜任商业银行、证券公司、保险机构、大型金融科技公司、涉外金融机构、金融监管机构及其他经济管理部门和企业工作的高素质复合型人才，或在国内外继续深造的学术后备人才。</p>"
