special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
36_504,36,504,交通工程,四年,工学学士,本科(普通),工学,交通运输类,<p>传统优势学科，四个创始大学之一，桃李满天下。长安大学是国内最早开展交通工程本科专业人才培养的四个创始大学之一。长安大学原属国家交通部，经过半个世纪的办学积累，如今已为国家交通事业的发展输送了大量高素质专业人才，毕业生广泛分布于各省市公路交通、城市交通的规划、设计、建设及管理岗位上。作为公路交通行业毕业生最多的大学，我们遍布全国的校友以敬业、乐业著称，他们身在工作岗位，却心系母校，时刻关注专业发展，相信未来的你也将是其中的卓越一员。</p><p>国家级特色专业与大类人才培养。交通工程专业是国家级特色专业和陕西省专业教学改革试点专业，也是陕西省专业教学创新实验区重点培育专业，拥有国家级双语课程、陕西省资源共享课程、陕西省精品课程等良好教学条件，人才成长氛围优越。本专业实施大类人才培养方案，前五学期，即大一、大二、大三第一学期，对学生进行专业基础教育。三年级第二学期则将按照交通工程、城市轨道交通、机场与道路总体工程三个方向予以精细化深度培养。每个专业方向均注重基础理论知识传授、创新思维培养及综合应用能力训练的有机结合，着重培养专业基础扎实、实践能力突出、富有探索精神和创新意识、行业领导能力卓越的专业技术和管理人才。本专业教学内容与国际课程体系对接，每年均有本科、研究生到国外名校继续升学攻读学位，有毕业生获得过美国每年只有2人的交通领域优秀博士论文奖。</p><p>教学科研互相促进、相得益彰。交通工程专业拥有一支师德高尚、结构合理、业务精良、富于探索精神和创新意识的师资队伍，博士化率100%，70%以上教师具有高级职称，年轻教师拥有国外高水平大学访学经历，具备国际化视野，也将国外先进教学理念和方法融入到日常教学活动中。作为长期致力于推动我国公路交通科学发展的重要科研力量，本专业教师参与了大量科研活动，从国家交通政策制定，如道路交通、机场工程行业标准制定，到遍及全国的交通网络规划设计、走廊交通控制，乃至微观的交叉路口设计，均积累有丰富的学识和经验，并可为学生参加各类科技创新大赛提供实践基地。</p>
36_505,36,505,车辆工程,四年,工学学士,本科(普通),工学,机械类,<p> 长安大学车辆工程专业于1980年恢复招收本科生，已培养本科毕业生2000余名。车辆工程学科是长安大学“211工程”重点建设学科，拥有本学科硕士学位和博士学位授予权，设有博士后流动站。车辆工程专业为国家级特色专业，其教学团队为国家级教学团队，已成为我国商用汽车技术领域高层次人才培养和进行高水平科学研究与新技术开发的中心之一。</p><p>  长期以来，我们始终以人才培养为根本任务，牢牢抓住中国汽车工业快速发展的机遇，紧紧围绕建设一流车辆工程学科的战略目标，瞄准国际前沿、国家目标和行业需求，统一思想，凝练共识，适应产业发展、突出学科特点、争创国内一流，积极推动教学、科研和队伍建设协调可持续发展。</p><p>就业率稳定在98%以上。车辆工程专业立足培养具有一流素质、能适应我国汽车行业发展需要的车辆设计制造方面的高级技术人才。就业地区主要分布在各省会城市及经济发达城市。就业单位主要包括联合电子、上海大众、一汽大众、中国汽车技术中心、一汽汽车技术中心、东风技术中心、广汽汽车技术中心、上汽集团、宇通客车、苏州金龙、厦门金龙、厦门金旅等车辆设计制造企业和相关科研院所等相关企事业单位，可从事车辆设计、制造、试验、营销和管理等工作。</p>
36_535,36,535,能源与动力工程,四年,工学学士,本科(普通),工学,能源动力类,<p>010年我校能源与动力工程专业被教育部批准建设国家级特色专业，2014年本学科获“能源与动力工程”专业陕西省教学团队建设项目，我系教师开设的“新能源、汽车与PM2.5”被评为国家级精品视频公开课、“发动机原理”被评为省级精品课程。我校能源与动力工程专业的主要特色和优势在于培养具备汽车发动机、汽车电子控制、交通新能源开发与应用、汽车节能与环保等领域的专业基础知识，集机、电、热技术于一身的复合型高级工程技术人才。</p><p>本专业获得过多项国家级和省部级奖励，早在1986年我校汽车发动机领域的专家周允教授和边耀璋教授参与和主持完成的国家课题解放牌汽车四大件改造技术项目获得国家科技进步二等奖。完成项目的同时，还设计了CA-10B汽车发动机梨形燃烧室气缸盖，直接应用于解放CA-10B型汽车，取得了显著的节能效果和经济效益。近年来本学科依托陕西省重点实验室“交通新能源开发、应用与汽车节能实验室”和“全国醇醚燃料及醇醚清洁汽车专业委员会西安试验检测中心”，承担了多项国家级和省部级科研项目。</p><p>本专业一次就业率高于97％。就业地区主要分布在北京、天津、上海、广州等经济发达城市。主要就业方向：发动机制造企业、汽车制造企业、汽车电子制造企业、石油化工企业、汽车运输企业、高等学校及相关科研院所，如：中国第一汽车股份有限公司、东风汽车股份有限公司、南京汽车股份有限公司、广州汽车集团乘用车有限公司、重庆长安汽车股份有限公司、奇瑞汽车股份有限公司、潍柴动力股份有限公司、广西玉柴机器股份有限公司、上海柴油机股份有限公司、郑州宇通客车股份有限公司、厦门金龙联合汽车工业有限公司等。</p>
36_517,36,517,汽车服务工程,四年,工学学士,本科(普通),工学,机械类,<p>汽车服务工程：</p><p>长安大学汽车服务工程专业是继承我校60多年来汽车工程人才培养办学经验和学科资源优势而设立的专业，目标是面向汽车产业培养汽车技术服务和经营管理方面的复合型高级技术人才。经过多年建设，本专业在国内享有良好的办学声誉，现为陕西省特色专业、全国汽车服务工程教学指导委员会副主任委员单位。本专业学科平台优势突出，已经形成了汽车检测诊断、汽车计算机控制和汽车车载系统开发等有特色的研究方向，特别是汽车检测诊断方向，在全国有较大影响；教学与科研条件完善，依托于学院国家级重点学科和交通运输部重点实验室“汽车运输安全保障技术交通行业重点实验室”，近年来投资近200万元建成包括“汽车机械故障模拟及信号采集分析、汽车总成故障模拟诊断、传动轴、曲轴动力平衡、荧磁探伤、四轮定位在内汽车服务工程专业实验体系”。长安大学汽车服务工程系已成为我国汽车服务领域科学研究和高层次人才培养的重要基地。</p><p>本专业属于机械类学科，关注的重点是运用知识，分析问题、解决实际问题的能力，实践性较强，空间想象力较弱或者动手能力较差的学生，可能在学习本专业时感到有些吃力。 另外，本专业的研究对象是汽车，而汽车科技发展极为迅速，各种新技术新工艺新装备层出不穷，因此要求学生在学习过程中要注意查阅收集相关资料，了解掌握最新的汽车技术，更新完善自己的专业知识结构。</p><p>本专业学生就业地区主要分布在北京、上海、广州及各省会和沿海发达城市。主要就业单位有汽车整车制造厂，如：一汽大众、上汽通用、上汽乘用车、广州丰田、东风日产、北汽福田、苏州海格、厦门金龙、宇通、陕重汽、中国重汽等各大整车制造企业的设计、制造、试验和售后技术服务部门；汽车行业第三方服务机构，如：中国汽车技术研究中心等；另外还有汽车检测与维修企业、汽车研究院所、交通运输管理部门、运输企业等企事业单位。汽车服务工程专业的毕业生就业率连续五年稳定在97%以上，近三年就业率达100%。</p><p>本专业每年约有10%的同学保研，可保送本校及国内其他本学科优势院校，考研率在30%左右。另有7%左右的同学出国深造。</p>
36_502,36,502,物流工程,四年,管理学学士,本科(普通),管理学,物流管理与工程类,<p>物流工程：</p><p>长安大学物流工程专业设立在汽车学院，依托长安大学国家级重点学科“交通运输工程”、国家“985工程”优势学科创新平台以及“汽车产业”、“物流产业”两大国家级振兴产业，立足于汽车产业与公路运输业，致力于为汽车产业链的物流服务和以公路运输为主的物流企业培养具有综合素质的高层次人才，现已发展成为本科、硕士、博士全方位的人才培养体系。长安大学物流工程专业因其特色鲜明，2011年被授予“陕西省特色专业”称号，物流工程教学团队被授予“陕西省教学团队”称号。</p><p>物流工程是研究物流系统的规划设计、优化配置、计划与控制以及经营管理的现代科学。它是一门理论与工程技术方法相结合的专业，主要为交通运输、生产制造、商贸流通等领域中的物流活动培养从事物流系统分析、规划、设计、控制、运营管理等方面的高级工程技术人才。它融合了交通运输工程、管理科学与工程两个一级学科，是以系统科学、现代数学、行为科学、管理学、经济学及计算机科学与信息技术等学科为基础的专业。</p><p>长安大学物流工程专业所在学科获得“交通运输专业人才培养方案、课程体系和教学内容改革与实践”国家级教学成果二等奖，“强化实践教学，培养面向道路运输行业创新型人才的研究与实践”陕西省教学成果一等奖、“物流类本科专业人才培养模式探索与实践”、“交通运输专业人才培养方案和教学体系改革的研究与实践”陕西省教学成果二等奖。培养的学生闯入历届全国大学生物流设计大赛总决赛，荣获一等奖2次、二等奖2次。规划建设了一系列陕西省精品课程与视频公开课、长安大学精品课程、长安大学双语课程等成果。</p>
36_507,36,507,机械设计制造及其自动化,四年,工学学士,本科(普通),工学,机械类,<p>机械设计制造及其自动化：</p><p>长安大学机械设计制造及其自动化专业始建于1952年，1995年成为“211工程”重点建设专业，2008年成为陕西省名牌专业，2010年成为国家级特色专业，2012年列入国家级本科专业综合改革试点项目。经过60多年专业建设，形成了以机械设计制造为基础，以交通基础设施机械化施工与管理、机械化养护与管理为应用特色的综合专业。</p><p>专业依托国家级公路养护装备国家工程实验室、道路施工技术及装备教育部重点实验室、高速公路机械化施工陕西省重点实验室，在国家交通建设的整体规划指引下，致力于国家交通建设装备事业的发展，如大型土石方机械、公路桥梁隧道施工机械、高铁动车装备制造等。主要培养从事机械装备产品的数字化设计、制造、运用、管理及故障诊断，从事交通建设领域工程机械装备运用、管理、维护等方面的高级工程技术人才。</p><p>学院具有机械工程一级学科和机械制造及其自动化二级学科博士学位授予权，同时招收博士研究生和硕士研究生。目前机械设计制造及其自动化专业拥有教学科研人员60名，其中博导3人，硕导22人，教授8人，副教授和高级工程师以上职称25人，具有博士学位教师42人。机械设计制造及其自动化教学团队为陕西省优秀教学团队；惠记庄教授为陕西省级教学名师；刘洪海教授为陕西省师德先进个人；长安大学教学名师4名；长安大学师德标兵2名；长安大学本科教学最满意教师2名。近年来主持和参与完成30余项国家省部级课题和70多项横向课题，发表论文200余篇，授权国家专利50余项，国家科技进步二等奖1项，其他省部级奖励20余项。</p><p>本专业学生毕业后，主要可从事大专院校相关专业的教学科研工作，可在机械设备研究和检测中心、工程机械设备制造企业、汽车制造企业、交通部门、建筑部门、水利水电行业、公路施工企业、高等级公路管理部门、机电贸易等行业和部门就业，从事机械设计与制造、机械装备制造过程管理、机械车辆等机电产品设计研发、公路施工和养护设备管理、交通建设工程中施工组织与质量控制、建设装备优化配置、建设装备的研发、工作机械装备行业经营决策和市场贸易等方面的工作。</p><p>近年来，我校机械设计制造及其自动化专业的毕业生就业率一直保持在98%以上，毕业生广受用人单位好评，每年都有数百家企事业单位来我校双选会选择人才。</p>
36_472,36,472,物流管理,四年,管理学学士,本科(普通),管理学,物流管理与工程类,<p>物流管理：</p><p>长安大学物流管理专业设立于2002年，是国内高校中首批设置物流管理本科专业的大学（系、部）之一。专业以集成物流为核心知识和技能结构，培养学生成为从事物流与供应链系统设计、运营与管理的高级复合型人才。专业特色体现在：（1）学科体系健全，具有本科、硕士、博士一条线招生资格；（2）师资梯队一流，专业教师全部为博士或博士在读、全部具有海外学术交流经历；（3）教材专著齐备，握有省级精品共享课程，形成以多部国家规划教材为特色的全套教材系列；（4）毕业生竞争力强，本专业已成功培养了数百名物流人才，杰出校友遍布海内外。</p><p>就业方向：</p><p>    （1）物流行业主管部门；</p><p>    （2）专业的第三方物流公司（顺丰、德邦等）；</p><p>    （3）传统的大型国际货运企业（中国远洋、中外运等）；</p><p>    （4）大型制造企业（海尔、格力、华为、中国重汽、三星等）；</p><p>    （5）电商企业（淘宝、京东、苏宁等）；</p><p>    （6）大型工程（中铁、中建）；</p><p>    （7）物流教育与科研机构。</p><p>长安大学物流管理专业本科生考研录取比例达到35%，其中保送比例10%，保研学生可以自主选择保送高校，主要去往985院校；出国比例达到5%，学生通过外语专业考试，学校协助学生联系并获得美国、德国、荷兰、澳大利亚、韩国等多所知名院校的留学资格。</p><p>与韩国知名高校及研究机构共同发起组建了中韩物流研究院，可定期开展国际物流学术交流。与包括韩国、台湾、美国、英国等多个国家建立了优秀在校生交换合作项目。</p>
36_474,36,474,会计学,四年,管理学学士,本科(普通),管理学,工商管理类,<p>会计学：</p><p>会计是以货币作为主要计量单位，反映特定主体经济活动的一种经济信息系统和经济管理工作。特定主体可以是企业、事业单位、行政单位和民间非营利组织等。可以说，所有发生经济活动的主体都离不开会计工作。</p><p>会计是一种商业语言，由于我国的会计准则已经与国际会计准则持续趋同，所以，用会计所提供的信息就具有了国际通用语言的作用。</p><p>本专业的主干课程包括基础会计学、财务会计学、成本会计学、管理会计学、高级财务会计、财务管理学、预算会计学和审计学等。通过这些课程的学习，可以让学生掌握会计记账的基本方法和基本技能，更好地提供会计信息。此外，本专业开设的相关双语课程及全英文课程，也有利于帮助学生拓宽专业学习的全球视野，掌握国际会计的基本知识，培养综合方法的运用能力。</p><p>本专业主要依托我校交通、建筑等学科体系体现专业特色。学生在校学习期间不仅会学习一般院校会计学专业所开设的财务会计、成本会计、财务管理等常规课程，还会学习公路运输企业会计、施工企业会计、公路行业财务管理、物流成本管理等具有专业特色的课程。</p><p>2008年，会计学专业获批陕西省特色专业建设点。2015年会计学教学团队获批陕西省教学团队称号。</p><p>本专业目前与全球最大的国际会计师专业团体之一——澳洲会计师公会合作办学。学生通过本科阶段的学习可以获得澳洲注册会计师基础阶段课程的认证，为学生建立了考取“澳洲注册会计师”专业资格的快捷通道。</p><p>长安大学会计专业的学生就业单位主要包括行政事业单位、国有大中型企业、民营企业等，主要集中在交通运输、建筑、电子通讯和金融等行业。就业率一直保持较高水平。</p>
36_486,36,486,电子信息工程,四年,工学学士,本科(普通),工学,电子信息类,"<p>基本修业年限三年
</p><p>培养目标
</p><p>    本专业培养德、智、体、美全面发展，具有良好职业道德和人文素养，掌握节电技术和
管理方法基本知识，具备节电设备与产品的营销策划、安装、调试和维护能力，从事机电节
电运行管理、智能控制、热工仪表维护与维修、节电策划与管理等工作的高素质技术技能人
才。
就业面向
</p><p>    主要面向电力生产、转化、消费消耗工程与自动控制行业，在机电产品、设备、电子器
件、智能仪器仪表岗位群，从事节电产品设计，节电设备的安装、调试、使用、维护，节能
工程预算、生产、检测、营销等工作。
</p><p>主要职业能力
</p><p>    1．具备对新知识、新技能的学习能力和创新创业能力；
</p><p>    2．具备节电设备与产品的营销策划能力；
</p><p>    3．具备本专业设备的安装、调试、维护和销售服务能力；
</p><p>    4．具备一定的节电产品的研发能力；
</p><p>    5．掌握节电工程技术的基本理论和专业技术技能，具备对常用的节电产品使用、分析、
测试和排除故障的能力；
</p><p>    6．基本了解现代节电工程技术的发展方向，具备节电措施新技术的应用能力；
</p><p>    7．基本了解现代企业管理、节电管理的方法。
</p><p>核心课程与实习实训
</p><p>    1．核心课程
</p><p>    电工电子技术、耗能系统运行管理、节能设备、企业节电策划与管理、制冷技术与空调、
节能计量与审计、能源利用与管理等。
</p><p>    2．实习实训
</p><p>    在校内进行产品节电技术参数的检测与演示、电子仪器仪表装调工等实训。
</p><p>    在新能源企业进行实习。
</p><p>职业资格证书举例
</p><p>    维修电工  电子仪器仪表装调工
</p><p>衔接中职专业举例
</p><p>    电气运行与控制  电气技术应用
</p><p>接续本科专业举例
</p><p>    电气工程及其自动化
</p>"
36_516,36,516,物联网工程,四年,工学学士,本科(普通),工学,计算机类,<p>物联网工程：</p><p>2011年4月，长安大学为加快特色鲜明大学的建设，推动陕西省（国家物联网中心）地方经济和相关学科的跨越式发展，与西安浐灞生态区共建长安大学科技园，这也是全国第一个拥有直接服务于物联网板块的国家级大学科技园。</p><p>2012年2月，教育部批准长安大学开设物联网工程专业。</p><p>物联网工程属于国家重点学科，是教育部审批设置的战略性新兴本科专业，是信息、通信、网络等产业重点支持的专业，是一个以物联网技术为主要教授内容的本科专业。毫不夸张地说，物联网工程专业是“国字号”专业。</p><p>该专业由物联网与网络工程系承担建设。目前，该系在岗教师16名，全部具有博士学位，其中教授2名，副教授9名，硕士生导师10名。</p><p>（1）专业特色</p><p>朝阳专业。物联网被誉为信息产业的第三次浪潮，全球瞩目。</p><p>就业面广。毕业生可就职于交通、物流、安防、电力、家居、医疗、矿业、军事和政府等行业领域，或继续攻读计算机、通信、测控等相关方向的研究生，从事研究、设计、开发、应用和管理等工作。</p><p>学科集成度高。涉及微电子、计算机、测控、通信、网络和软件等多个专业。</p><p>高素质教师团队。具有一支结构合理、专业齐全的师资队伍。现有毕业于计算机、通信、软件、控制等专业的专职教师16名，全部具有博士学位，25%具有博士后研究经历，50%具有国外学习和研究经历。</p><p>（2）主要课程</p><p>核心课程：电路基础、低频与数字电路、信号与系统、通信原理、C/C++程序设计、数据结构、面向对象程序设计、操作系统、计算机组成原理、微机原理与接口技术、嵌入式系统、计算机网络等。</p><p>特色课程：信息存储与管理、网络与信息安全、信息隐藏与数字水印技术、人工智能、物联网组网技术、物联网安全技术、传感器原理与应用、ZigBee协议与应用。</p><p>（3）培养目标</p><p>本专业旨在培养从事物联网及相关领域的产品研发、系统设计与实现、数据处理与管理等方面的高级专门人才。要求毕业生掌握传感器与无线传感网、通信与网络、信息存储与安全、嵌入式系统与移动终端、电子与控制、计算机软件与硬件等专业理论知识，具备设计和实现初、中级数据采集、传输和处理（控制）系统以及相关产品研发的基本技能和创新实践能力，同时具有相当的人文社科知识和健康阳光的精神风貌，成为德智体全面发展且符合市场需求的社会栋梁。</p><p> （4）就业前景</p><p>2015年（物联网工程方向）和2016年（物联网工程专业）就业率均为100%。毕业生获得社会广泛认可，深受用人单位好评。多名同学进入业内知名企业如百度、腾讯、阿里巴巴、360、华为、中兴等就业。两届毕业生考研率入学为40%。在校参加国家公派留学与后续国外深造率在10%左右。</p>
